"title","url","criterion_list_id"
"David and Nathan Zellner’s Top 10","https://www.criterion.com/current/top-10-lists/340-david-and-nathan-zellner-s-top-10","340"
"Ari Aster’s Top 10","https://www.criterion.com/current/top-10-lists/339-ari-aster-s-top-10","339"
"Sloane Crosley’s Top 10","https://www.criterion.com/current/top-10-lists/338-sloane-crosley-s-top-10","338"
"Sebastián Lelio’s Top 10","https://www.criterion.com/current/top-10-lists/331-sebastian-lelio-s-top-10","331"
"Barry Levinson’s Top 10","https://www.criterion.com/current/top-10-lists/332-barry-levinson-s-top-10","332"
"Jessica Morgan’s Top 10","https://www.criterion.com/current/top-10-lists/335-jessica-morgan-s-top-10","335"
"Ruben Östlund’s Top 10","https://www.criterion.com/current/top-10-lists/334-ruben-ostlund-s-top-10","334"
"Tracy Letts’s Top 10","https://www.criterion.com/current/top-10-lists/322-tracy-letts-s-top-10","322"
"Jonas Carpignano’s Top 10","https://www.criterion.com/current/top-10-lists/337-jonas-carpignano-s-top-10","337"
"Stephen Cone’s Top 10","https://www.criterion.com/current/top-10-lists/321-stephen-cone-s-top-10","321"
"Connor Jessup’s Top 10","https://www.criterion.com/current/top-10-lists/320-connor-jessup-s-top-10","320"
"Christopher Radcliff and Lauren Wolkstein’s Top 10","https://www.criterion.com/current/top-10-lists/333-christopher-radcliff-and-lauren-wolkstein-s-top-10","333"
"Doug Nichol’s Top 10","https://www.criterion.com/current/top-10-lists/319-doug-nichol-s-top-10","319"
"Janicza Bravo’s Top 10","https://www.criterion.com/current/top-10-lists/318-janicza-bravo-s-top-10","318"
"Dustin Guy Defa’s Top 10","https://www.criterion.com/current/top-10-lists/317-dustin-guy-defa-s-top-10","317"
"Joshua Z Weinstein’s Top 10","https://www.criterion.com/current/top-10-lists/316-joshua-z-weinstein-s-top-10","316"
"Alison Maclean’s Top 10","https://www.criterion.com/current/top-10-lists/315-alison-maclean-s-top-10","315"
"Jennifer Reeder’s Top 10","https://www.criterion.com/current/top-10-lists/314-jennifer-reeder-s-top-10","314"
"Rodarte’s Top 10","https://www.criterion.com/current/top-10-lists/313-rodarte-s-top-10","313"
"Pat Healy’s Top 10","https://www.criterion.com/current/top-10-lists/312-pat-healy-s-top-10","312"
"Steve Gunn’s Top 10","https://www.criterion.com/current/top-10-lists/311-steve-gunn-s-top-10","311"
"Nathan Silver’s Top 10","https://www.criterion.com/current/top-10-lists/310-nathan-silver-s-top-10","310"
"Zach Braff’s Top 10","https://www.criterion.com/current/top-10-lists/309-zach-braff-s-top-10","309"
"Barnaby Clay’s Top 10","https://www.criterion.com/current/top-10-lists/308-barnaby-clay-s-top-10","308"
"Bill Condon’s Top 10","https://www.criterion.com/current/top-10-lists/307-bill-condon-s-top-10","307"
"Mike Portnoy’s Top 10","https://www.criterion.com/current/top-10-lists/306-mike-portnoy-s-top-10","306"
"Ken Jennings’s Top 10","https://www.criterion.com/current/top-10-lists/305-ken-jennings-s-top-10","305"
"Dana Calvo’s Top 10","https://www.criterion.com/current/top-10-lists/304-dana-calvo-s-top-10","304"
"Clea DuVall’s Top 10","https://www.criterion.com/current/top-10-lists/303-clea-duvall-s-top-10","303"
"Alton Brown’s Top 10","https://www.criterion.com/current/top-10-lists/302-alton-brown-s-top-10","302"
"Zach Clark’s Top 10","https://www.criterion.com/current/top-10-lists/301-zach-clark-s-top-10","301"
"Terence Nance’s Top 10","https://www.criterion.com/current/top-10-lists/300-terence-nance-s-top-10","300"
"Amy Fine Collins’s Top 10","https://www.criterion.com/current/top-10-lists/299-amy-fine-collins-s-top-10","299"
"Young Jean Lee’s Top 10","https://www.criterion.com/current/top-10-lists/298-young-jean-lee-s-top-10","298"
"Jenni Olson’s Top 10","https://www.criterion.com/current/top-10-lists/297-jenni-olson-s-top-10","297"
"Illeana Douglas’s Top 10","https://www.criterion.com/current/top-10-lists/296-illeana-douglas-s-top-10","296"
"Tunde Adebimpe’s Top 10","https://www.criterion.com/current/top-10-lists/295-tunde-adebimpe-s-top-10","295"
"Andrew Ahn’s Top 10","https://www.criterion.com/current/top-10-lists/294-andrew-ahn-s-top-10","294"
"Douglas Hart’s Top 10","https://www.criterion.com/current/top-10-lists/293-douglas-hart-s-top-10","293"
"Megan Abbott’s Top 10","https://www.criterion.com/current/top-10-lists/292-megan-abbott-s-top-10","292"
"Duncan Hannah’s Top 10","https://www.criterion.com/current/top-10-lists/291-duncan-hannah-s-top-10","291"
"Mogwai’s Top 10","https://www.criterion.com/current/top-10-lists/290-mogwai-s-top-10","290"
"Alan Arkin’s Top 10","https://www.criterion.com/current/top-10-lists/289-alan-arkin-s-top-10","289"
"Anna Sui’s Top 10","https://www.criterion.com/current/top-10-lists/288-anna-sui-s-top-10","288"
"Richard Hell’s Top 10","https://www.criterion.com/current/top-10-lists/287-richard-hell-s-top-10","287"
"Aaron Katz's Top 10","https://www.criterion.com/current/top-10-lists/336-aaron-katz-s-top-10","336"
"Bret Easton Ellis’s Top 10","https://www.criterion.com/current/top-10-lists/286-bret-easton-ellis-s-top-10","286"
"Julia Cafritz’s Top 10","https://www.criterion.com/current/top-10-lists/285-julia-cafritz-s-top-10","285"
"Meg Baird’s Top 10","https://www.criterion.com/current/top-10-lists/284-meg-baird-s-top-10","284"
"Paul Schneider’s Top 10","https://www.criterion.com/current/top-10-lists/251-paul-schneider-s-top-10","251"
"Laura Mulvey’s Top 10","https://www.criterion.com/current/top-10-lists/250-laura-mulvey-s-top-10","250"
"Reggie Watts’s Top 10","https://www.criterion.com/current/top-10-lists/249-reggie-watts-s-top-10","249"
"Ana Lily Amirpour’s Top 10","https://www.criterion.com/current/top-10-lists/247-ana-lily-amirpour-s-top-10","247"
"Matthew Weiner’s Top 10","https://www.criterion.com/current/top-10-lists/246-matthew-weiner-s-top-10","246"
"Bruce Beresford’s Top 10","https://www.criterion.com/current/top-10-lists/245-bruce-beresford-s-top-10","245"
"Keith Gordon’s Top 10","https://www.criterion.com/current/top-10-lists/244-keith-gordon-s-top-10","244"
"Troy Miller’s Top 10","https://www.criterion.com/current/top-10-lists/243-troy-miller-s-top-10","243"
"Sean Baker’s Top 10","https://www.criterion.com/current/top-10-lists/242-sean-baker-s-top-10","242"
"Annie Baker’s Top 10","https://www.criterion.com/current/top-10-lists/241-annie-baker-s-top-10","241"
"André Gregory and Wallace Shawn’s Top 10","https://www.criterion.com/current/top-10-lists/240-andre-gregory-and-wallace-shawn-s-top-10","240"
"Josh and Benny Safdie’s Top 10","https://www.criterion.com/current/top-10-lists/238-josh-and-benny-safdie-s-top-10","238"
"Olivier Assayas’s Top 10","https://www.criterion.com/current/top-10-lists/237-olivier-assayas-s-top-10","237"
"Mark Cousins’s Top 10","https://www.criterion.com/current/top-10-lists/236-mark-cousins-s-top-10","236"
"Jesse Malin’s Top 10","https://www.criterion.com/current/top-10-lists/235-jesse-malin-s-top-10","235"
"Ben Wheatley’s Top 10","https://www.criterion.com/current/top-10-lists/234-ben-wheatley-s-top-10","234"
"Atom Egoyan’s Top 10","https://www.criterion.com/current/top-10-lists/233-atom-egoyan-s-top-10","233"
"Dick Cavett’s Top 10","https://www.criterion.com/current/top-10-lists/232-dick-cavett-s-top-10","232"
"Marc Maron’s Top 10","https://www.criterion.com/current/top-10-lists/229-marc-maron-s-top-10","229"
"Robert Greene’s Top 10","https://www.criterion.com/current/top-10-lists/227-robert-greene-s-top-10","227"
"Alex Ross Perry’s Top 10","https://www.criterion.com/current/top-10-lists/226-alex-ross-perry-s-top-10","226"
"Don Hertzfeldt’s Top 10","https://www.criterion.com/current/top-10-lists/225-don-hertzfeldt-s-top-10","225"
"Will Oldham’s Top 10","https://www.criterion.com/current/top-10-lists/224-will-oldham-s-top-10","224"
"Austin Garrick’s Top 10","https://www.criterion.com/current/top-10-lists/223-austin-garrick-s-top-10","223"
"Hossein Amini’s Top 10","https://www.criterion.com/current/top-10-lists/222-hossein-amini-s-top-10","222"
"Mary Ellen Mark’s Top 10","https://www.criterion.com/current/top-10-lists/221-mary-ellen-mark-s-top-10","221"
"KK Barrett’s Top 10","https://www.criterion.com/current/top-10-lists/219-kk-barrett-s-top-10","219"
"Christopher Hobbs’s Top 10","https://www.criterion.com/current/top-10-lists/218-christopher-hobbs-s-top-10","218"
"James Schamus’s Top 10","https://www.criterion.com/current/top-10-lists/217-james-schamus-s-top-10","217"
"Tim Forbes’s Top 10","https://www.criterion.com/current/top-10-lists/215-tim-forbes-s-top-10","215"
"Martin Scorsese’s Top 10","https://www.criterion.com/current/top-10-lists/214-martin-scorsese-s-top-10","214"
"Stella Mozgawa’s Top 10","https://www.criterion.com/current/top-10-lists/213-stella-mozgawa-s-top-10","213"
"Bong Joon-ho’s Top 10","https://www.criterion.com/current/top-10-lists/212-bong-joon-ho-s-top-10","212"
"Geoff Dyer’s Top 10","https://www.criterion.com/current/top-10-lists/211-geoff-dyer-s-top-10","211"
"Kim Newman’s Top 10","https://www.criterion.com/current/top-10-lists/209-kim-newman-s-top-10","209"
"Jonathan Caouette’s Top 10","https://www.criterion.com/current/top-10-lists/208-jonathan-caouette-s-top-10","208"
"Daniel Lopatin’s Top 10","https://www.criterion.com/current/top-10-lists/207-daniel-lopatin-s-top-10","207"
"Keegan McHargue’s Top 10","https://www.criterion.com/current/top-10-lists/206-keegan-mchargue-s-top-10","206"
"Donald Fagen’s Top 10","https://www.criterion.com/current/top-10-lists/205-donald-fagen-s-top-10","205"
"Kazu Kibuishi’s Top 10","https://www.criterion.com/current/top-10-lists/204-kazu-kibuishi-s-top-10","204"
"Zola Jesus’s Top 10","https://www.criterion.com/current/top-10-lists/202-zola-jesus-s-top-10","202"
"Roger Corman’s Top 10","https://www.criterion.com/current/top-10-lists/201-roger-corman-s-top-10","201"
"Lena Dunham’s Top 10","https://www.criterion.com/current/top-10-lists/199-lena-dunham-s-top-10","199"
"Haskell Wexler’s Top 10","https://www.criterion.com/current/top-10-lists/198-haskell-wexler-s-top-10","198"
"Nicholas Stoller’s Top 10","https://www.criterion.com/current/top-10-lists/197-nicholas-stoller-s-top-10","197"
"Andrew Loog Oldham’s Top 10","https://www.criterion.com/current/top-10-lists/193-andrew-loog-oldham-s-top-10","193"
"Andrew Weil’s Top 10","https://www.criterion.com/current/top-10-lists/192-andrew-weil-s-top-10","192"
"Christopher Nolan’s Top 10","https://www.criterion.com/current/top-10-lists/191-christopher-nolan-s-top-10","191"
"Flying Lotus’s Top 10","https://www.criterion.com/current/top-10-lists/188-flying-lotus-s-top-10","188"
"Paul Feig’s Top 10","https://www.criterion.com/current/top-10-lists/187-paul-feig-s-top-10","187"
"William Friedkin’s Top 10","https://www.criterion.com/current/top-10-lists/185-william-friedkin-s-top-10","185"
"Franc Roddam’s Top 10","https://www.criterion.com/current/top-10-lists/184-franc-roddam-s-top-10","184"
"Andrew Haigh’s Top 10","https://www.criterion.com/current/top-10-lists/182-andrew-haigh-s-top-10","182"
"Brie Larson’s Top 10","https://www.criterion.com/current/top-10-lists/180-brie-larson-s-top-10","180"
"Miguel Arteta’s Top 10","https://www.criterion.com/current/top-10-lists/179-miguel-arteta-s-top-10","179"
"Chuck Klosterman’s Top 10","https://www.criterion.com/current/top-10-lists/177-chuck-klosterman-s-top-10","177"
"Phil Rosenthal’s Top 10","https://www.criterion.com/current/top-10-lists/176-phil-rosenthal-s-top-10","176"
"John Taylor’s Top 10","https://www.criterion.com/current/top-10-lists/175-john-taylor-s-top-10","175"
"Oren Moverman’s Top 10","https://www.criterion.com/current/top-10-lists/173-oren-moverman-s-top-10","173"
"Susie Bright’s Top 10","https://www.criterion.com/current/top-10-lists/172-susie-bright-s-top-10","172"
"Dominic Monaghan’s Top 10","https://www.criterion.com/current/top-10-lists/170-dominic-monaghan-s-top-10","170"
"Michael Korda’s Top 10","https://www.criterion.com/current/top-10-lists/168-michael-korda-s-top-10","168"
"Alec Baldwin’s Top 10","https://www.criterion.com/current/top-10-lists/167-alec-baldwin-s-top-10","167"
"Nicolas Winding Refn’s Top 10","https://www.criterion.com/current/top-10-lists/164-nicolas-winding-refn-s-top-10","164"
"Aki Kaurismäki’s Top 10","https://www.criterion.com/current/top-10-lists/163-aki-kaurismaki-s-top-10","163"
"Edgar Wright’s Top 10","https://www.criterion.com/current/top-10-lists/161-edgar-wright-s-top-10","161"
"Richard Ayoade’s Top 10","https://www.criterion.com/current/top-10-lists/159-richard-ayoade-s-top-10","159"
"Robert Ben Garant and Tom Lennon’s Top 10","https://www.criterion.com/current/top-10-lists/156-robert-ben-garant-and-tom-lennon-s-top-10","156"
"Anthony Bourdain’s Top 10","https://www.criterion.com/current/top-10-lists/152-anthony-bourdain-s-top-10","152"
"John Bailey’s Top 10","https://www.criterion.com/current/top-10-lists/148-john-bailey-s-top-10","148"
"João Pedro Rodrigues’s Top 10","https://www.criterion.com/current/top-10-lists/143-joao-pedro-rodrigues-s-top-10","143"
"Bill Hader’s Top 10","https://www.criterion.com/current/top-10-lists/139-bill-hader-s-top-10","139"
"Greg Mottola’s Top 10","https://www.criterion.com/current/top-10-lists/138-greg-mottola-s-top-10","138"
"Georgia Hubley’s Top 10","https://www.criterion.com/current/top-10-lists/132-georgia-hubley-s-top-10","132"
"Scott Morse’s Top Ten","https://www.criterion.com/current/top-10-lists/129-scott-morse-s-top-ten","129"
"Guillermo del Toro’s Top 10","https://www.criterion.com/current/top-10-lists/125-guillermo-del-toro-s-top-10","125"
"Angus MacLachlan’s Top 10","https://www.criterion.com/current/top-10-lists/121-angus-maclachlan-s-top-10","121"
"Wes Anderson’s Top 10","https://www.criterion.com/current/top-10-lists/115-wes-anderson-s-top-10","115"
"Marcel Dzama’s Top 10","https://www.criterion.com/current/top-10-lists/109-marcel-dzama-s-top-10","109"
"Xavier Dolan’s Top 10","https://www.criterion.com/current/top-10-lists/102-xavier-dolan-s-top-10","102"
"Frederick Elmes’s Top 10","https://www.criterion.com/current/top-10-lists/89-frederick-elmes-s-top-10","89"
"Johnnie To’s Top 10","https://www.criterion.com/current/top-10-lists/87-johnnie-to-s-top-10","87"
"Iron and Wine’s Top 10","https://www.criterion.com/current/top-10-lists/85-iron-and-wine-s-top-10","85"
"Seth’s Top 10","https://www.criterion.com/current/top-10-lists/84-seth-s-top-10","84"
"Pedro Costa’s Top 10","https://www.criterion.com/current/top-10-lists/80-pedro-costa-s-top-10","80"
"Michael Atkinson’s Top 10","https://www.criterion.com/current/top-10-lists/77-michael-atkinson-s-top-10","77"
"Joe Mantegna’s Top 10","https://www.criterion.com/current/top-10-lists/73-joe-mantegna-s-top-10","73"
"Sonic Youth’s Top 10","https://www.criterion.com/current/top-10-lists/72-sonic-youth-s-top-10","72"
"Caitlin Kuhwald’s Top 10","https://www.criterion.com/current/top-10-lists/70-caitlin-kuhwald-s-top-10","70"
"Whit Stillman’s Top 10","https://www.criterion.com/current/top-10-lists/69-whit-stillman-s-top-10","69"
"Nathan Lee’s Top 10","https://www.criterion.com/current/top-10-lists/68-nathan-lee-s-top-10","68"
"Al Reinert’s Top 10","https://www.criterion.com/current/top-10-lists/67-al-reinert-s-top-10","67"
"Joe Swanberg’s Top 10","https://www.criterion.com/current/top-10-lists/66-joe-swanberg-s-top-10","66"
"Götz Spielmann’s Top 10","https://www.criterion.com/current/top-10-lists/65-gotz-spielmann-s-top-10","65"
"Jaime Hernandez’s Top 10","https://www.criterion.com/current/top-10-lists/64-jaime-hernandez-s-top-10","64"
"James Franco’s Top 10","https://www.criterion.com/current/top-10-lists/63-james-franco-s-top-10","63"
"Paul Morrissey’s Top 10","https://www.criterion.com/current/top-10-lists/62-paul-morrissey-s-top-10","62"
"Monte Hellman’s Top 10","https://www.criterion.com/current/top-10-lists/61-monte-hellman-s-top-10","61"
"Dave Filipi’s Top 10","https://www.criterion.com/current/top-10-lists/60-dave-filipi-s-top-10","60"
"Chris Hegedus’s Top 10","https://www.criterion.com/current/top-10-lists/59-chris-hegedus-s-top-10","59"
"Ricky Jay’s Top 10","https://www.criterion.com/current/top-10-lists/58-ricky-jay-s-top-10","58"
"Adam Yauch’s Top 10","https://www.criterion.com/current/top-10-lists/57-adam-yauch-s-top-10","57"
"Robin Wood’s Top 10","https://www.criterion.com/current/top-10-lists/56-robin-wood-s-top-10","56"
"Paul Schrader’s Top 10","https://www.criterion.com/current/top-10-lists/55-paul-schrader-s-top-10","55"
"Leanne Shapton’s Top 10","https://www.criterion.com/current/top-10-lists/54-leanne-shapton-s-top-10","54"
"David Schwartz’s Top 10","https://www.criterion.com/current/top-10-lists/53-david-schwartz-s-top-10","53"
"Tom Schnabel’s Top 10","https://www.criterion.com/current/top-10-lists/52-tom-schnabel-s-top-10","52"
"Nicolas Roeg’s Top 10","https://www.criterion.com/current/top-10-lists/51-nicolas-roeg-s-top-10","51"
"Bill Plympton’s Top 10","https://www.criterion.com/current/top-10-lists/49-bill-plympton-s-top-10","49"
"D. A. Pennebaker’s Top 10","https://www.criterion.com/current/top-10-lists/48-d-a-pennebaker-s-top-10","48"
"Patton Oswalt’s Top 10","https://www.criterion.com/current/top-10-lists/47-patton-oswalt-s-top-10","47"
"David Markey’s Top 10","https://www.criterion.com/current/top-10-lists/46-david-markey-s-top-10","46"
"Guy Maddin’s Top 10","https://www.criterion.com/current/top-10-lists/45-guy-maddin-s-top-10","45"
