"slug","title","year","director","runtime","imdb","tmdb","times_picked","imdb_url","lb_url"
"risky-business","Risky Business","1983","Paul Brickman","98","tt0086200","9346","2","https://www.imdb.com/title/tt0086200/","https://letterboxd.com/film/risky-business/"
"visions-in-meditation-3-platos-cave","Visions in Meditation #3: Plato's Cave","1990","Stan Brakhage","16","tt0281353","164599","3","https://www.imdb.com/title/tt0281353/","https://letterboxd.com/film/visions-in-meditation-3-platos-cave/"
"pariah","Pariah","2011","Dee Rees","86","tt1233334","73939","3","https://www.imdb.com/title/tt1233334/","https://letterboxd.com/film/pariah/"
"a-mans-head","A Man's Head","1933","Julien Duvivier","90","tt0024710","84248","1","https://www.imdb.com/title/tt0024710/","https://letterboxd.com/film/a-mans-head/"
"journey-to-the-beginning-of-time","Journey to the Beginning of Time","1955","Karel Zeman","85","tt0047930","8779","2","https://www.imdb.com/title/tt0047930/","https://letterboxd.com/film/journey-to-the-beginning-of-time/"
"how-to-have-sex","How to Have Sex","2023","Molly Manning Walker","91","tt22890246","1075175","1","https://www.imdb.com/title/tt22890246/","https://letterboxd.com/film/how-to-have-sex/"
"hot-fuzz","Hot Fuzz","2007","Edgar Wright","121","tt0425112","4638","1","https://www.imdb.com/title/tt0425112/","https://letterboxd.com/film/hot-fuzz/"
"traffic","Traffic","2000","Steven Soderbergh","147","tt0181865","1900","6","https://www.imdb.com/title/tt0181865/","https://letterboxd.com/film/traffic/"
"three-resurrected-drunkards","Three Resurrected Drunkards","1968","Nagisa Ōshima","80","tt0063169","108512","3","https://www.imdb.com/title/tt0063169/","https://letterboxd.com/film/three-resurrected-drunkards/"
"women-on-the-verge-of-a-nervous-breakdown","Women on the Verge of a Nervous Breakdown","1988","Pedro Almodóvar","88","tt0095675","4203","7","https://www.imdb.com/title/tt0095675/","https://letterboxd.com/film/women-on-the-verge-of-a-nervous-breakdown/"
"saraband","Saraband","2003","Ingmar Bergman","120","tt0299478","55650","12","https://www.imdb.com/title/tt0299478/","https://letterboxd.com/film/saraband/"
"late-autumn","Late Autumn","1960","Yasujirō Ozu","128","tt0053579","21967","6","https://www.imdb.com/title/tt0053579/","https://letterboxd.com/film/late-autumn/"
"revenge-1990","Revenge","1990","Yermek Shinarbayev","100","tt0102497","216046","3","https://www.imdb.com/title/tt0102497/","https://letterboxd.com/film/revenge-1990/"
