"slug","title","year","director","runtime","imdb","tmdb","times_picked","imdb_url","lb_url"
"che-part-two","Che: Part Two","2008","Steven Soderbergh","135","tt0374569","8880","2","https://www.imdb.com/title/tt0374569/","https://letterboxd.com/film/che-part-two/"
"the-white-sheik","The White Sheik","1952","Federico Fellini","83","tt0044000","43361","17","https://www.imdb.com/title/tt0044000/","https://letterboxd.com/film/the-white-sheik/"
"ali-fear-eats-the-soul","Ali: Fear Eats the Soul","1974","Rainer Werner Fassbinder","93","tt0071141","216","2","https://www.imdb.com/title/tt0071141/","https://letterboxd.com/film/ali-fear-eats-the-soul/"
"the-decameron","The Decameron","1971","Pier Paolo Pasolini","111","tt0065622","33583","6","https://www.imdb.com/title/tt0065622/","https://letterboxd.com/film/the-decameron/"
"loves-of-a-blonde","Loves of a Blonde","1965","Miloš Forman","81","tt0059415","39387","10","https://www.imdb.com/title/tt0059415/","https://letterboxd.com/film/loves-of-a-blonde/"
"la-strada","La Strada","1954","Federico Fellini","115","tt0047528","405","33","https://www.imdb.com/title/tt0047528/","https://letterboxd.com/film/la-strada/"
"all-about-my-mother","All About My Mother","1999","Pedro Almodóvar","101","tt0185125","99","6","https://www.imdb.com/title/tt0185125/","https://letterboxd.com/film/all-about-my-mother/"
"white-material","White Material","2009","Claire Denis","106","tt1135952","46207","6","https://www.imdb.com/title/tt1135952/","https://letterboxd.com/film/white-material/"
"calcutta-1969","Calcutta","1969","Louis Malle","99","tt0062773","112630","5","https://www.imdb.com/title/tt0062773/","https://letterboxd.com/film/calcutta-1969/"
"we-grown-now","We Grown Now","2023","Minhal Baig","95","tt28639049","1163186","1","https://www.imdb.com/title/tt28639049/","https://letterboxd.com/film/we-grown-now/"
"janet-planet","Janet Planet","2023","Annie Baker","113","tt28366692","1037035","1","https://www.imdb.com/title/tt28366692/","https://letterboxd.com/film/janet-planet/"
"marriage-story-2019","Marriage Story","2019","Noah Baumbach","137","tt7653254","492188","1","https://www.imdb.com/title/tt7653254/","https://letterboxd.com/film/marriage-story-2019/"
"blonde-venus","Blonde Venus","1932","Josef von Sternberg","93","tt0022698","34474","6","https://www.imdb.com/title/tt0022698/","https://letterboxd.com/film/blonde-venus/"
"kes","Kes","1969","Ken Loach","111","tt0064541","13384","7","https://www.imdb.com/title/tt0064541/","https://letterboxd.com/film/kes/"
"the-silence","The Silence","1963","Ingmar Bergman","95","tt0057611","11506","18","https://www.imdb.com/title/tt0057611/","https://letterboxd.com/film/the-silence/"
"throne-of-blood","Throne of Blood","1957","Akira Kurosawa","108","tt0050613","3777","5","https://www.imdb.com/title/tt0050613/","https://letterboxd.com/film/throne-of-blood/"
"revanche","Revanche","2008","Götz Spielmann","121","tt1173745","15451","1","https://www.imdb.com/title/tt1173745/","https://letterboxd.com/film/revanche/"
"dry-summer","Dry Summer","1963","Metin Erksan","90","tt0062322","58897","1","https://www.imdb.com/title/tt0062322/","https://letterboxd.com/film/dry-summer/"
"rupture","Rupture","1961","Pierre Étaix, Jean-Claude Carrière","11","tt0411819","188191","1","https://www.imdb.com/title/tt0411819/","https://letterboxd.com/film/rupture/"
"ride-lonesome","Ride Lonesome","1959","Budd Boetticher","73","tt0053220","27644","7","https://www.imdb.com/title/tt0053220/","https://letterboxd.com/film/ride-lonesome/"
"the-two-faces-of-a-bamileke-woman","The Two Faces of a Bamileke Woman","2018","Rosine Mbakam","77","tt9135014","475327","1","https://www.imdb.com/title/tt9135014/","https://letterboxd.com/film/the-two-faces-of-a-bamileke-woman/"
"shrimp-stories","Shrimp Stories","1964","Geneviève Hamon, Jean Painlevé","10","tt1441288","163146","1","https://www.imdb.com/title/tt1441288/","https://letterboxd.com/film/shrimp-stories/"
"winchester-73","Winchester '73","1950","Anthony Mann","92","tt0043137","14551","3","https://www.imdb.com/title/tt0043137/","https://letterboxd.com/film/winchester-73/"
"american-boy-a-profile-of-steven-prince","American Boy: A Profile of Steven Prince","1978","Martin Scorsese","55","tt0077157","33470","7","https://www.imdb.com/title/tt0077157/","https://letterboxd.com/film/american-boy-a-profile-of-steven-prince/"
"barbie","Barbie","2023","Greta Gerwig","114","tt1517268","346698","1","https://www.imdb.com/title/tt1517268/","https://letterboxd.com/film/barbie/"
"monsoon-wedding","Monsoon Wedding","2001","Mira Nair","114","tt0265343","480","2","https://www.imdb.com/title/tt0265343/","https://letterboxd.com/film/monsoon-wedding/"
"a-murder-at-the-end-of-the-world","A Murder at the End of the World","2023","Brit Marling, Zal Batmanglij","425","tt15227418","","1","https://www.imdb.com/title/tt15227418/","https://letterboxd.com/film/a-murder-at-the-end-of-the-world/"
"the-hawks-and-the-sparrows","The Hawks and the Sparrows","1966","Pier Paolo Pasolini","90","tt0061132","33954","17","https://www.imdb.com/title/tt0061132/","https://letterboxd.com/film/the-hawks-and-the-sparrows/"
"broadcast-news","Broadcast News","1987","James L. Brooks","133","tt0092699","12626","6","https://www.imdb.com/title/tt0092699/","https://letterboxd.com/film/broadcast-news/"
"the-parallax-view","The Parallax View","1974","Alan J. Pakula","102","tt0071970","17365","5","https://www.imdb.com/title/tt0071970/","https://letterboxd.com/film/the-parallax-view/"
"jules-and-jim","Jules and Jim","1962","François Truffaut","106","tt0055032","1628","11","https://www.imdb.com/title/tt0055032/","https://letterboxd.com/film/jules-and-jim/"
"dog-star-man","Dog Star Man","1965","Stan Brakhage","78","tt5896468","420240","3","https://www.imdb.com/title/tt5896468/","https://letterboxd.com/film/dog-star-man/"
"the-domain-of-the-moment","The Domain of the Moment","1977","Stan Brakhage","15","tt0278417","164592","3","https://www.imdb.com/title/tt0278417/","https://letterboxd.com/film/the-domain-of-the-moment/"
"all-we-imagine-as-light","All We Imagine as Light","2024","Payal Kapadia","118","tt32086077","927547","1","https://www.imdb.com/title/tt32086077/","https://letterboxd.com/film/all-we-imagine-as-light/"
"riot-in-cell-block-11","Riot in Cell Block 11","1954","Don Siegel","80","tt0047417","28023","1","https://www.imdb.com/title/tt0047417/","https://letterboxd.com/film/riot-in-cell-block-11/"
"three-colours-white","Three Colours: White","1994","Krzysztof Kieślowski","92","tt0111507","109","10","https://www.imdb.com/title/tt0111507/","https://letterboxd.com/film/three-colours-white/"
"ida","Ida","2013","Paweł Pawlikowski","82","tt2718492","209274","1","https://www.imdb.com/title/tt2718492/","https://letterboxd.com/film/ida/"
"beyond-the-valley-of-the-dolls","Beyond the Valley of the Dolls","1970","Russ Meyer","109","tt0065466","5722","5","https://www.imdb.com/title/tt0065466/","https://letterboxd.com/film/beyond-the-valley-of-the-dolls/"
"blow-out","Blow Out","1981","Brian De Palma","108","tt0082085","11644","3","https://www.imdb.com/title/tt0082085/","https://letterboxd.com/film/blow-out/"
"bicycle-thieves","Bicycle Thieves","1948","Vittorio De Sica","89","tt0040522","5156","11","https://www.imdb.com/title/tt0040522/","https://letterboxd.com/film/bicycle-thieves/"
"opening-night","Opening Night","1977","John Cassavetes","144","tt0079672","33665","33","https://www.imdb.com/title/tt0079672/","https://letterboxd.com/film/opening-night/"
"good-one","Good One","2024","India Donaldson","90","tt30319516","1122618","1","https://www.imdb.com/title/tt30319516/","https://letterboxd.com/film/good-one/"
"the-leopard","The Leopard","1963","Luchino Visconti","186","tt0057091","1040","11","https://www.imdb.com/title/tt0057091/","https://letterboxd.com/film/the-leopard/"
"cairo-station","Cairo Station","1958","Youssef Chahine","77","tt0051390","47324","1","https://www.imdb.com/title/tt0051390/","https://letterboxd.com/film/cairo-station/"
"personal-shopper","Personal Shopper","2016","Olivier Assayas","106","tt4714782","340676","2","https://www.imdb.com/title/tt4714782/","https://letterboxd.com/film/personal-shopper/"
"powaqqatsi","Powaqqatsi","1988","Godfrey Reggio","100","tt0095895","24348","6","https://www.imdb.com/title/tt0095895/","https://letterboxd.com/film/powaqqatsi/"
"the-red-head","The Red Head","1932","Julien Duvivier","91","tt0023345","92413","1","https://www.imdb.com/title/tt0023345/","https://letterboxd.com/film/the-red-head/"
"devi","Devi","1960","Satyajit Ray","99","tt0053765","43031","1","https://www.imdb.com/title/tt0053765/","https://letterboxd.com/film/devi/"
"little-men-2016","Little Men","2016","Ira Sachs","85","tt4919484","373473","1","https://www.imdb.com/title/tt4919484/","https://letterboxd.com/film/little-men-2016/"
"blast-of-silence","Blast of Silence","1961","Allen Baron","77","tt0054687","32008","1","https://www.imdb.com/title/tt0054687/","https://letterboxd.com/film/blast-of-silence/"
"the-honeymoon-killers","The Honeymoon Killers","1970","Leonard Kastle","108","tt0064437","10237","3","https://www.imdb.com/title/tt0064437/","https://letterboxd.com/film/the-honeymoon-killers/"
"mishima-a-life-in-four-chapters","Mishima: A Life in Four Chapters","1985","Paul Schrader","121","tt0089603","27064","6","https://www.imdb.com/title/tt0089603/","https://letterboxd.com/film/mishima-a-life-in-four-chapters/"
"corsage","Corsage","2022","Marie Kreutzer","114","tt11992694","888321","2","https://www.imdb.com/title/tt11992694/","https://letterboxd.com/film/corsage/"
"the-meetings-of-anna","The Meetings of Anna","1978","Chantal Akerman","128","tt0078152","93669","11","https://www.imdb.com/title/tt0078152/","https://letterboxd.com/film/the-meetings-of-anna/"
"jungle-book","Jungle Book","1942","Zoltan Korda","106","tt0034928","23033","1","https://www.imdb.com/title/tt0034928/","https://letterboxd.com/film/jungle-book/"
"hour-of-the-wolf","Hour of the Wolf","1968","Ingmar Bergman","88","tt0063759","18333","12","https://www.imdb.com/title/tt0063759/","https://letterboxd.com/film/hour-of-the-wolf/"
"feeling-good","Feeling Good","1966","Pierre Étaix","12","tt1708524","207123","1","https://www.imdb.com/title/tt1708524/","https://letterboxd.com/film/feeling-good/"
"love-affair-or-the-case-of-the-missing-switchboard-operator","Love Affair, or the Case of the Missing Switchboard Operator","1967","Dušan Makavejev","69","tt0061912","42696","1","https://www.imdb.com/title/tt0061912/","https://letterboxd.com/film/love-affair-or-the-case-of-the-missing-switchboard-operator/"
"female-trouble","Female Trouble","1974","John Waters","98","tt0072979","14267","8","https://www.imdb.com/title/tt0072979/","https://letterboxd.com/film/female-trouble/"
"the-funeral","The Funeral","1984","Jūzō Itami","125","tt0089746","42095","1","https://www.imdb.com/title/tt0089746/","https://letterboxd.com/film/the-funeral/"
"author-the-jt-leroy-story","Author: The JT LeRoy Story","2016","Jeff Feuerzeig","110","tt5278462","373348","1","https://www.imdb.com/title/tt5278462/","https://letterboxd.com/film/author-the-jt-leroy-story/"
"il-sorpasso","Il Sorpasso","1962","Dino Risi","105","tt0056512","24188","3","https://www.imdb.com/title/tt0056512/","https://letterboxd.com/film/il-sorpasso/"
"emilia-perez","Emilia Pérez","2024","Jacques Audiard","132","tt20221436","974950","1","https://www.imdb.com/title/tt20221436/","https://letterboxd.com/film/emilia-perez/"
"the-burmese-harp","The Burmese Harp","1956","Kon Ichikawa","117","tt0049012","33319","1","https://www.imdb.com/title/tt0049012/","https://letterboxd.com/film/the-burmese-harp/"
"bim-the-little-donkey","Bim, the Little Donkey","1951","Albert Lamorisse","45","tt0137387","273086","2","https://www.imdb.com/title/tt0137387/","https://letterboxd.com/film/bim-the-little-donkey/"
"querelle","Querelle","1982","Rainer Werner Fassbinder","109","tt0084565","42135","3","https://www.imdb.com/title/tt0084565/","https://letterboxd.com/film/querelle/"
"the-cameraman","The Cameraman","1928","Edward Sedgwick, Buster Keaton","74","tt0018742","31411","10","https://www.imdb.com/title/tt0018742/","https://letterboxd.com/film/the-cameraman/"
"bitter-rice","Bitter Rice","1949","Giuseppe De Santis","109","tt0040737","31058","2","https://www.imdb.com/title/tt0040737/","https://letterboxd.com/film/bitter-rice/"
"jeanne-dielman-23-quai-du-commerce-1080-bruxelles","Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles","1975","Chantal Akerman","202","tt0073198","44012","11","https://www.imdb.com/title/tt0073198/","https://letterboxd.com/film/jeanne-dielman-23-quai-du-commerce-1080-bruxelles/"
"godzilla-vs-biollante","Godzilla vs. Biollante","1989","Kazuki Ōmori","105","tt0097444","18289","1","https://www.imdb.com/title/tt0097444/","https://letterboxd.com/film/godzilla-vs-biollante/"
"claudine","Claudine","1974","John Berry","92","tt0071334","55909","8","https://www.imdb.com/title/tt0071334/","https://letterboxd.com/film/claudine/"
"amy-2015","Amy","2015","Asif Kapadia","128","tt2870648","331781","1","https://www.imdb.com/title/tt2870648/","https://letterboxd.com/film/amy-2015/"
"after-life","After Life","1998","Hirokazu Kore-eda","118","tt0165078","17962","10","https://www.imdb.com/title/tt0165078/","https://letterboxd.com/film/after-life/"
"picnic-at-hanging-rock","Picnic at Hanging Rock","1975","Peter Weir","107","tt0073540","11020","6","https://www.imdb.com/title/tt0073540/","https://letterboxd.com/film/picnic-at-hanging-rock/"
"june-night","June Night","1940","Per Lindberg","90","tt0032655","64926","1","https://www.imdb.com/title/tt0032655/","https://letterboxd.com/film/june-night/"
"the-swimming-pool","The Swimming Pool","1969","Jacques Deray","123","tt0064816","4946","7","https://www.imdb.com/title/tt0064816/","https://letterboxd.com/film/the-swimming-pool/"
"moonage-daydream","Moonage Daydream","2022","Brett Morgen","135","tt9883832","957457","1","https://www.imdb.com/title/tt9883832/","https://letterboxd.com/film/moonage-daydream/"
"il-posto","Il Posto","1961","Ermanno Olmi","98","tt0055320","31742","7","https://www.imdb.com/title/tt0055320/","https://letterboxd.com/film/il-posto/"
"down-by-law","Down by Law","1986","Jim Jarmusch","106","tt0090967","1554","12","https://www.imdb.com/title/tt0090967/","https://letterboxd.com/film/down-by-law/"
"the-right-stuff","The Right Stuff","1983","Philip Kaufman","193","tt0086197","9549","1","https://www.imdb.com/title/tt0086197/","https://letterboxd.com/film/the-right-stuff/"
"the-daytrippers","The Daytrippers","1996","Greg Mottola","87","tt0116041","49806","5","https://www.imdb.com/title/tt0116041/","https://letterboxd.com/film/the-daytrippers/"
"tokyo-story","Tokyo Story","1953","Yasujirō Ozu","137","tt0046438","18148","11","https://www.imdb.com/title/tt0046438/","https://letterboxd.com/film/tokyo-story/"
"crack-glass-eulogy","Crack Glass Eulogy","1991","Stan Brakhage","6","tt0280574","126213","3","https://www.imdb.com/title/tt0280574/","https://letterboxd.com/film/crack-glass-eulogy/"
"appalachian-spring-1959","Appalachian Spring","1959","Peter Glushanok","32","tt0478971","258233","1","https://www.imdb.com/title/tt0478971/","https://letterboxd.com/film/appalachian-spring-1959/"
"enys-men","Enys Men","2022","Mark Jenkin","90","tt11698800","740049","1","https://www.imdb.com/title/tt11698800/","https://letterboxd.com/film/enys-men/"
"alambrista","Alambrista!","1977","Robert M. Young","96","tt0075654","86975","1","https://www.imdb.com/title/tt0075654/","https://letterboxd.com/film/alambrista/"
"grip-of-the-strangler","Grip of the Strangler","1958","Robert Day","78","tt0051706","86667","1","https://www.imdb.com/title/tt0051706/","https://letterboxd.com/film/grip-of-the-strangler/"
"mysterious-object-at-noon","Mysterious Object at Noon","2000","Apichatpong Weerasethakul","90","tt0269587","93553","3","https://www.imdb.com/title/tt0269587/","https://letterboxd.com/film/mysterious-object-at-noon/"
"leave-her-to-heaven","Leave Her to Heaven","1945","John M. Stahl","110","tt0037865","17645","2","https://www.imdb.com/title/tt0037865/","https://letterboxd.com/film/leave-her-to-heaven/"
"the-act-of-seeing-with-ones-own-eyes","The Act of Seeing with One's Own Eyes","1972","Stan Brakhage","32","tt0140788","126132","3","https://www.imdb.com/title/tt0140788/","https://letterboxd.com/film/the-act-of-seeing-with-ones-own-eyes/"
"first-time-female-director","First Time Female Director","2023","Chelsea Peretti","97","tt21285728","999887","1","https://www.imdb.com/title/tt21285728/","https://letterboxd.com/film/first-time-female-director/"
"dry-wood","Dry Wood","1973","Les Blank, Maureen Gosling","37","tt0070005","208781","5","https://www.imdb.com/title/tt0070005/","https://letterboxd.com/film/dry-wood/"
"winter-light","Winter Light","1963","Ingmar Bergman","80","tt0057358","29455","18","https://www.imdb.com/title/tt0057358/","https://letterboxd.com/film/winter-light/"
"the-makioka-sisters","The Makioka Sisters","1983","Kon Ichikawa","140","tt0086242","42116","1","https://www.imdb.com/title/tt0086242/","https://letterboxd.com/film/the-makioka-sisters/"
"war-and-peace-1965","War and Peace","1965","Sergey Bondarchuk","422","tt0063794","29266","2","https://www.imdb.com/title/tt0063794/","https://letterboxd.com/film/war-and-peace-1965/"
"zatoichi-at-large","Zatoichi at Large","1972","Kazuo Mori","88","tt0202153","54284","1","https://www.imdb.com/title/tt0202153/","https://letterboxd.com/film/zatoichi-at-large/"
"the-black-stallion","The Black Stallion","1979","Carroll Ballard","118","tt0078872","17264","1","https://www.imdb.com/title/tt0078872/","https://letterboxd.com/film/the-black-stallion/"
"sasquatch-sunset","Sasquatch Sunset","2024","David Zellner, Nathan Zellner","89","tt30180830","1015634","1","https://www.imdb.com/title/tt30180830/","https://letterboxd.com/film/sasquatch-sunset/"
"8-half","8½","1963","Federico Fellini","139","tt0056801","422","35","https://www.imdb.com/title/tt0056801/","https://letterboxd.com/film/8-half/"
"faya-dayi","Faya Dayi","2021","Jessica Beshir","120","tt13648216","776551","2","https://www.imdb.com/title/tt13648216/","https://letterboxd.com/film/faya-dayi/"
"people-on-sunday","People on Sunday","1930","Robert Siodmak, Edgar G. Ulmer","74","tt0020163","347","2","https://www.imdb.com/title/tt0020163/","https://letterboxd.com/film/people-on-sunday/"
"autumn-sonata","Autumn Sonata","1978","Ingmar Bergman","93","tt0077711","12761","14","https://www.imdb.com/title/tt0077711/","https://letterboxd.com/film/autumn-sonata/"
"night-music","Night Music","1986","Stan Brakhage","","tt0091633","126197","3","https://www.imdb.com/title/tt0091633/","https://letterboxd.com/film/night-music/"
"short-cuts","Short Cuts","1993","Robert Altman","188","tt0108122","695","9","https://www.imdb.com/title/tt0108122/","https://letterboxd.com/film/short-cuts/"
"i-am-curious-yellow","I Am Curious (Yellow)","1967","Vilgot Sjöman","122","tt0061834","42695","3","https://www.imdb.com/title/tt0061834/","https://letterboxd.com/film/i-am-curious-yellow/"
"the-irishman-2019","The Irishman","2019","Martin Scorsese","209","tt1302006","398978","1","https://www.imdb.com/title/tt1302006/","https://letterboxd.com/film/the-irishman-2019/"
"blow-up","Blow-Up","1966","Michelangelo Antonioni","111","tt0060176","1052","9","https://www.imdb.com/title/tt0060176/","https://letterboxd.com/film/blow-up/"
"jacquot-de-nantes","Jacquot de Nantes","1991","Agnès Varda","118","tt0102141","41789","24","https://www.imdb.com/title/tt0102141/","https://letterboxd.com/film/jacquot-de-nantes/"
"the-brutalist","The Brutalist","2024","Brady Corbet","215","tt8999762","549509","1","https://www.imdb.com/title/tt8999762/","https://letterboxd.com/film/the-brutalist/"
"the-naked-kiss","The Naked Kiss","1964","Samuel Fuller","93","tt0058390","26031","4","https://www.imdb.com/title/tt0058390/","https://letterboxd.com/film/the-naked-kiss/"
"belle-de-jour","Belle de Jour","1967","Luis Buñuel","101","tt0061395","649","6","https://www.imdb.com/title/tt0061395/","https://letterboxd.com/film/belle-de-jour/"
"the-suitor","The Suitor","1962","Pierre Étaix","84","tt0056514","67556","4","https://www.imdb.com/title/tt0056514/","https://letterboxd.com/film/the-suitor/"
"accattone","Accattone","1961","Pier Paolo Pasolini","117","tt0054599","12491","17","https://www.imdb.com/title/tt0054599/","https://letterboxd.com/film/accattone/"
"take-me-somewhere-nice","Take Me Somewhere Nice","2019","Ena Sendijarević","92","tt8567342","572979","1","https://www.imdb.com/title/tt8567342/","https://letterboxd.com/film/take-me-somewhere-nice/"
"dressed-to-kill-1980","Dressed to Kill","1980","Brian De Palma","105","tt0080661","11033","3","https://www.imdb.com/title/tt0080661/","https://letterboxd.com/film/dressed-to-kill-1980/"
"the-matrix","The Matrix","1999","Lana Wachowski, Lilly Wachowski","136","tt0133093","603","1","https://www.imdb.com/title/tt0133093/","https://letterboxd.com/film/the-matrix/"
"kings-of-the-road","Kings of the Road","1976","Wim Wenders","177","tt0073152","10834","3","https://www.imdb.com/title/tt0073152/","https://letterboxd.com/film/kings-of-the-road/"
"once-upon-a-time-in-china-iii","Once Upon a Time in China III","1992","Tsui Hark","112","tt0108592","10619","2","https://www.imdb.com/title/tt0108592/","https://letterboxd.com/film/once-upon-a-time-in-china-iii/"
"bad-things","Bad Things","2023","Stewart Thorndike","83","tt27542845","1114928","1","https://www.imdb.com/title/tt27542845/","https://letterboxd.com/film/bad-things/"
"man-bites-dog","Man Bites Dog","1992","Rémy Belvaux, André Bonzel, Benoît Poelvoorde","96","tt0103905","10086","5","https://www.imdb.com/title/tt0103905/","https://letterboxd.com/film/man-bites-dog/"
"the-young-girls-turn-25","The Young Girls Turn 25","1993","Agnès Varda","65","tt0106696","200381","4","https://www.imdb.com/title/tt0106696/","https://letterboxd.com/film/the-young-girls-turn-25/"
"i-live-in-fear","I Live in Fear","1955","Akira Kurosawa","103","tt0048198","21490","1","https://www.imdb.com/title/tt0048198/","https://letterboxd.com/film/i-live-in-fear/"
"mr-arkadin","Mr. Arkadin","1955","Orson Welles","107","tt0048393","44026","1","https://www.imdb.com/title/tt0048393/","https://letterboxd.com/film/mr-arkadin/"
"the-baron-of-arizona","The Baron of Arizona","1950","Samuel Fuller","97","tt0042229","37329","1","https://www.imdb.com/title/tt0042229/","https://letterboxd.com/film/the-baron-of-arizona/"
"the-piano","The Piano","1993","Jane Campion","120","tt0107822","713","6","https://www.imdb.com/title/tt0107822/","https://letterboxd.com/film/the-piano/"
"lions-love","Lions Love","1969","Agnès Varda","110","tt0064591","63320","24","https://www.imdb.com/title/tt0064591/","https://letterboxd.com/film/lions-love/"
"dog-star-man-part-iii","Dog Star Man: Part III","1964","Stan Brakhage","11","tt0284061","127320","3","https://www.imdb.com/title/tt0284061/","https://letterboxd.com/film/dog-star-man-part-iii/"
"senna","Senna","2010","Asif Kapadia","106","tt1424432","58496","1","https://www.imdb.com/title/tt1424432/","https://letterboxd.com/film/senna/"
"beastie-boys-video-anthology","Beastie Boys: Video Anthology","2000","Adam Bernstein, Spike Jonze, David Perez Shadi, Evan Bernard, Tamra Davis, Adam Yauch, Ari Marcopoulos","65","tt0273456","283462","2","https://www.imdb.com/title/tt0273456/","https://letterboxd.com/film/beastie-boys-video-anthology/"
"summer-interlude","Summer Interlude","1951","Ingmar Bergman","96","tt0044060","47473","12","https://www.imdb.com/title/tt0044060/","https://letterboxd.com/film/summer-interlude/"
"topsy-turvy","Topsy-Turvy","1999","Mike Leigh","160","tt0151568","46435","2","https://www.imdb.com/title/tt0151568/","https://letterboxd.com/film/topsy-turvy/"
"valley-of-the-dolls","Valley of the Dolls","1967","Mark Robson","123","tt0062430","3055","5","https://www.imdb.com/title/tt0062430/","https://letterboxd.com/film/valley-of-the-dolls/"
"la-vie-de-boheme","La Vie de Bohème","1992","Aki Kaurismäki","103","tt0105750","28212","1","https://www.imdb.com/title/tt0105750/","https://letterboxd.com/film/la-vie-de-boheme/"
"the-atomic-submarine","The Atomic Submarine","1959","Spencer Gordon Bennet","72","tt0052587","37467","1","https://www.imdb.com/title/tt0052587/","https://letterboxd.com/film/the-atomic-submarine/"
"like-someone-in-love","Like Someone in Love","2012","Abbas Kiarostami","109","tt1843287","102001","1","https://www.imdb.com/title/tt1843287/","https://letterboxd.com/film/like-someone-in-love/"
"che-part-one","Che: Part One","2008","Steven Soderbergh","134","tt0892255","8881","2","https://www.imdb.com/title/tt0892255/","https://letterboxd.com/film/che-part-one/"
"valerie-and-her-week-of-wonders","Valerie and Her Week of Wonders","1970","Jaromil Jireš","73","tt0066516","46315","2","https://www.imdb.com/title/tt0066516/","https://letterboxd.com/film/valerie-and-her-week-of-wonders/"
"fingernails","Fingernails","2023","Christos Nikou","113","tt13968674","790459","1","https://www.imdb.com/title/tt13968674/","https://letterboxd.com/film/fingernails/"
"nineteen-eighty-four-1984","Nineteen Eighty-Four","1984","Michael Radford","113","tt0087803","9314","2","https://www.imdb.com/title/tt0087803/","https://letterboxd.com/film/nineteen-eighty-four-1984/"
"the-innocent-2022","The Innocent","2022","Louis Garrel","99","tt19841734","919573","1","https://www.imdb.com/title/tt19841734/","https://letterboxd.com/film/the-innocent-2022/"
"education-2020","Education","2020","Steve McQueen","63","tt10551106","768675","2","https://www.imdb.com/title/tt10551106/","https://letterboxd.com/film/education-2020/"
"pina","Pina","2011","Wim Wenders","106","tt1440266","57276","4","https://www.imdb.com/title/tt1440266/","https://letterboxd.com/film/pina/"
"zatoichis-flashing-sword","Zatoichi's Flashing Sword","1964","Kazuo Ikehiro","82","tt0191664","54265","1","https://www.imdb.com/title/tt0191664/","https://letterboxd.com/film/zatoichis-flashing-sword/"
"the-passion-of-joan-of-arc","The Passion of Joan of Arc","1928","Carl Theodor Dreyer","81","tt0019254","780","4","https://www.imdb.com/title/tt0019254/","https://letterboxd.com/film/the-passion-of-joan-of-arc/"
"once-upon-a-time-in-china-ii","Once Upon a Time in China II","1992","Tsui Hark","113","tt0105839","10618","2","https://www.imdb.com/title/tt0105839/","https://letterboxd.com/film/once-upon-a-time-in-china-ii/"
"i-was-born-but","I Was Born, But...","1932","Yasujirō Ozu","91","tt0023634","28268","2","https://www.imdb.com/title/tt0023634/","https://letterboxd.com/film/i-was-born-but/"
"how-to-get-ahead-in-advertising","How to Get Ahead in Advertising","1989","Bruce Robinson","95","tt0097531","14776","1","https://www.imdb.com/title/tt0097531/","https://letterboxd.com/film/how-to-get-ahead-in-advertising/"
"being-there","Being There","1979","Hal Ashby","130","tt0078841","10322","17","https://www.imdb.com/title/tt0078841/","https://letterboxd.com/film/being-there/"
"le-samourai","Le Samouraï","1967","Jean-Pierre Melville","105","tt0062229","5511","8","https://www.imdb.com/title/tt0062229/","https://letterboxd.com/film/le-samourai/"
"downsizing","Downsizing","2017","Alexander Payne","135","tt1389072","301337","1","https://www.imdb.com/title/tt1389072/","https://letterboxd.com/film/downsizing/"
"boyhood","Boyhood","2014","Richard Linklater","165","tt1065073","85350","2","https://www.imdb.com/title/tt1065073/","https://letterboxd.com/film/boyhood/"
"the-cremator","The Cremator","1969","Juraj Herz","101","tt0063633","18352","2","https://www.imdb.com/title/tt0063633/","https://letterboxd.com/film/the-cremator/"
"ghost-world","Ghost World","2001","Terry Zwigoff","111","tt0162346","1548","1","https://www.imdb.com/title/tt0162346/","https://letterboxd.com/film/ghost-world/"
"a-ship-to-india","A Ship to India","1947","Ingmar Bergman","96","tt0039834","106122","12","https://www.imdb.com/title/tt0039834/","https://letterboxd.com/film/a-ship-to-india/"
"coco-2017","Coco","2017","Lee Unkrich","105","tt2380307","354912","1","https://www.imdb.com/title/tt2380307/","https://letterboxd.com/film/coco-2017/"
"the-400-blows","The 400 Blows","1959","François Truffaut","99","tt0053198","147","11","https://www.imdb.com/title/tt0053198/","https://letterboxd.com/film/the-400-blows/"
"black-panthers","Black Panthers","1968","Agnès Varda","28","tt0209942","144597","24","https://www.imdb.com/title/tt0209942/","https://letterboxd.com/film/black-panthers/"
"red-river","Red River","1948","Howard Hawks","133","tt0040724","3089","2","https://www.imdb.com/title/tt0040724/","https://letterboxd.com/film/red-river/"
"midnight-cowboy","Midnight Cowboy","1969","John Schlesinger","113","tt0064665","3116","10","https://www.imdb.com/title/tt0064665/","https://letterboxd.com/film/midnight-cowboy/"
"daliland","Dalíland","2022","Mary Harron","97","tt8399658","522925","1","https://www.imdb.com/title/tt8399658/","https://letterboxd.com/film/daliland/"
"surface-tension","Surface Tension","1968","Hollis Frampton","10","tt0131042","154656","1","https://www.imdb.com/title/tt0131042/","https://letterboxd.com/film/surface-tension/"
"the-story-of-a-three-day-pass","The Story of a Three-Day Pass","1967","Melvin Van Peebles","87","tt0063646","95954","11","https://www.imdb.com/title/tt0063646/","https://letterboxd.com/film/the-story-of-a-three-day-pass/"
"memories-of-underdevelopment","Memories of Underdevelopment","1968","Tomás Gutiérrez Alea","99","tt0063291","47576","6","https://www.imdb.com/title/tt0063291/","https://letterboxd.com/film/memories-of-underdevelopment/"
