"id","title","link"
"293","Douglas Hart’s Top 10","https://www.criterion.com/current/top-10-lists/293-douglas-harts-top-10"
"292","Megan Abbott’s Top 10","https://www.criterion.com/current/top-10-lists/292-megan-abbotts-top-10"
"291","Duncan Hannah’s Top 10","https://www.criterion.com/current/top-10-lists/291-duncan-hannahs-top-10"
"290","Mogwai’s Top 10","https://www.criterion.com/current/top-10-lists/290-mogwais-top-10"
"289","Alan Arkin’s Top 10","https://www.criterion.com/current/top-10-lists/289-alan-arkins-top-10"
"288","Anna Sui’s Top 10","https://www.criterion.com/current/top-10-lists/288-anna-suis-top-10"
"287","Richard Hell’s Top 10","https://www.criterion.com/current/top-10-lists/287-richard-hells-top-10"
"336","Aaron Katz's Top 10 ","https://www.criterion.com/current/top-10-lists/336-aaron-katz-s-top-10"
"286","Bret Easton Ellis’s Top 10","https://www.criterion.com/current/top-10-lists/286-bret-easton-elliss-top-10"
"285","Julia Cafritz’s Top 10","https://www.criterion.com/current/top-10-lists/285-julia-cafritzs-top-10"
"284","Meg Baird’s Top 10","https://www.criterion.com/current/top-10-lists/284-meg-bairds-top-10"
"251","Paul Schneider’s Top 10","https://www.criterion.com/current/top-10-lists/251-paul-schneiders-top-10"
"250","Laura Mulvey’s Top 10","https://www.criterion.com/current/top-10-lists/250-laura-mulveys-top-10"
"249","Reggie Watts’s Top 10","https://www.criterion.com/current/top-10-lists/249-reggie-wattss-top-10"
"247","Ana Lily Amirpour’s Top 10","https://www.criterion.com/current/top-10-lists/247-ana-lily-amirpours-top-10"
"246","Matthew Weiner’s Top 10","https://www.criterion.com/current/top-10-lists/246-matthew-weiners-top-10"
"245","Bruce Beresford’s Top 10","https://www.criterion.com/current/top-10-lists/245-bruce-beresfords-top-10"
"244","Keith Gordon’s Top 10","https://www.criterion.com/current/top-10-lists/244-keith-gordons-top-10"
"243","Troy Miller’s Top 10","https://www.criterion.com/current/top-10-lists/243-troy-millers-top-10"
"242","Sean Baker’s Top 10","https://www.criterion.com/current/top-10-lists/242-sean-bakers-top-10"
"241","Annie Baker’s Top 10","https://www.criterion.com/current/top-10-lists/241-annie-bakers-top-10"
