"name","slug","visit_date","visit_year","is_group","occupations","n_picks","video","list_url"
"Alicia Malone","alicia-malones-criterion-closet-picks","2017-08-22","2017","0","tv-host;author","9","https://www.youtube.com/watch?v=7QT96iMk0Kw","https://letterboxd.com/closetpicks/list/alicia-malones-criterion-closet-picks/"
"Lynne Sachs","lynne-sachs-criterion-closet-picks","2024-06-04","2024","0","directors","3","","https://letterboxd.com/closetpicks/list/lynne-sachs-criterion-closet-picks/"
"Peter Sarsgaard","peter-sarsgaards-criterion-closet-picks","2019-12-18","2019","0","actors","7","https://www.youtube.com/watch?v=5YxJY2W4b4U","https://letterboxd.com/closetpicks/list/peter-sarsgaards-criterion-closet-picks/"
"Bob the Drag Queen","bob-the-drag-queens-criterion-closet-picks","2026-02-09","2026","0","drag-performer;comedians;author","6","https://www.youtube.com/watch?v=0ZvmGDEBXZM","https://letterboxd.com/closetpicks/list/bob-the-drag-queens-criterion-closet-picks/"
"Sofia Coppola and Marc Jacobs","sofia-coppola-and-marc-jacobs-criterion-closet","2026-03-03","2026","1","fashion-designers;directors;actors;writers","25","https://youtu.be/qLH-ZyrEBn8","https://letterboxd.com/closetpicks/list/sofia-coppola-and-marc-jacobs-criterion-closet/"
"Benjamin Millepied","benjamin-millepieds-criterion-closet-picks","2023-05-15","2023","0","directors;choreographers;dancers","12","https://www.youtube.com/watch?v=uF970Ynyb3U","https://letterboxd.com/closetpicks/list/benjamin-millepieds-criterion-closet-picks/"
"Cameron Crowe","cameron-crowes-criterion-closet-picks","2025-10-30","2025","0","directors;writers","17","https://youtu.be/JOYFdj70CpI","https://letterboxd.com/closetpicks/list/cameron-crowes-criterion-closet-picks/"
"Griffin Dunne's Second","griffin-dunnes-second-criterion-closet-picks","","2025","0","actors;author","6","https://www.youtube.com/watch?v=Jf9qeR7aJ3E","https://letterboxd.com/closetpicks/list/griffin-dunnes-second-criterion-closet-picks/"
"Alec Baldwin","alec-baldwins-criterion-closet-picks","2013-05-08","2013","0","actors","5","https://www.youtube.com/watch?v=aRQ4DRUIJBc","https://letterboxd.com/closetpicks/list/alec-baldwins-criterion-closet-picks/"
"Willem Dafoe","willem-dafoes-criterion-closet-picks","2023-12-07","2024","0","actors","15","https://www.youtube.com/watch?v=9tG_cBdvo2c","https://letterboxd.com/closetpicks/list/willem-dafoes-criterion-closet-picks/"
"Jason Bateman","jason-batemans-criterion-closet-picks","2025-10-23","2025","0","actors;directors","11","https://www.youtube.com/watch?v=us0xeBVKMJI","https://letterboxd.com/closetpicks/list/jason-batemans-criterion-closet-picks/"
"Raven Jackson","raven-jacksons-criterion-closet-picks","2023-10-10","2023","0","directors;writers","11","https://www.youtube.com/watch?v=pDr2Ptl1ce8","https://letterboxd.com/closetpicks/list/raven-jacksons-criterion-closet-picks/"
"Matthew Modine","matthew-modines-criterion-closet-picks","2021-01-15","2021","0","actors","6","https://www.youtube.com/watch?v=Gugp7YzVuC4","https://letterboxd.com/closetpicks/list/matthew-modines-criterion-closet-picks/"
"Renate Reinsve","renate-reinsves-criterion-closet-picks","2022-06-29","2022","0","actors","21","https://www.youtube.com/watch?v=FAhUrrvwWPQ","https://letterboxd.com/closetpicks/list/renate-reinsves-criterion-closet-picks/"
"Halle Berry","halle-berrys-criterion-closet-picks","2026-02-05","2026","0","actors;directors","10","https://www.youtube.com/watch?v=NxtUjQOrJZU&amp;t=2s","https://letterboxd.com/closetpicks/list/halle-berrys-criterion-closet-picks/"
"Jon Hamm","jon-hamms-criterion-closet-picks","2026-03-30","2026","0","actors","10","https://youtu.be/ErwYl1eU3is","https://letterboxd.com/closetpicks/list/jon-hamms-criterion-closet-picks/"
"Yorgos Lanthimos' Second","yorgos-lanthimos-second-criterion-closet","2025-10-20","2025","0","return-visits;writers;directors","8","https://youtu.be/wFditJEjgjI","https://letterboxd.com/closetpicks/list/yorgos-lanthimos-second-criterion-closet/"
"Christian Petzold","christian-petzolds-criterion-closet-picks","2023-07-12","2023","0","directors","15","https://www.youtube.com/watch?v=qnz4FmBO2RY","https://letterboxd.com/closetpicks/list/christian-petzolds-criterion-closet-picks/"
"St. Vincent","st-vincents-criterion-closet-picks","2024-03-28","2024","0","musicians","17","https://www.youtube.com/watch?v=JPQG0BKNVqY","https://letterboxd.com/closetpicks/list/st-vincents-criterion-closet-picks/"
