"selector_label","title","director","criterion_url","source","published_rank"
"Julia Cafritz","Tanner ’88","Robert Altman","https://www.criterion.com/films/952-tanner-88","https://github.com/brittonwalker/criterion-top-ten",""
"Julia Cafritz","Medium Cool","Haskell Wexler","https://www.criterion.com/films/28426-medium-cool","https://github.com/brittonwalker/criterion-top-ten",""
"Mark Cousins","Medium Cool","Haskell Wexler","https://www.criterion.com/films/28426-medium-cool","https://github.com/brittonwalker/criterion-top-ten",""
"Julia Cafritz","Nanook of the North","Robert Flaherty","https://www.criterion.com/films/574-nanook-of-the-north","https://github.com/brittonwalker/criterion-top-ten",""
"Aki Kaurismäki ","Nanook of the North","Robert Flaherty","https://www.criterion.com/films/574-nanook-of-the-north","https://github.com/brittonwalker/criterion-top-ten",""
"D. A. Pennebaker","Nanook of the North","Robert Flaherty","https://www.criterion.com/films/574-nanook-of-the-north","https://github.com/brittonwalker/criterion-top-ten",""
"Stuart Cooper","Nanook of the North","Robert Flaherty","https://www.criterion.com/films/574-nanook-of-the-north","https://github.com/brittonwalker/criterion-top-ten",""
"Julia Cafritz","Quadrophenia","Franc Roddam","https://www.criterion.com/films/27775-quadrophenia","https://github.com/brittonwalker/criterion-top-ten",""
"Meg Baird","Monterey Pop","D. A. Pennebaker","https://www.criterion.com/films/720-monterey-pop","https://github.com/brittonwalker/criterion-top-ten",""
" John Taylor","Monterey Pop","D. A. Pennebaker","https://www.criterion.com/films/720-monterey-pop","https://github.com/brittonwalker/criterion-top-ten",""
"Caitlin Kuhwald","Monterey Pop","D. A. Pennebaker","https://www.criterion.com/films/720-monterey-pop","https://github.com/brittonwalker/criterion-top-ten",""
"Al Reinert","Monterey Pop","D. A. Pennebaker","https://www.criterion.com/films/720-monterey-pop","https://github.com/brittonwalker/criterion-top-ten",""
"Chris Hegedus","Monterey Pop","D. A. Pennebaker","https://www.criterion.com/films/720-monterey-pop","https://github.com/brittonwalker/criterion-top-ten",""
"David Markey","Monterey Pop","D. A. Pennebaker","https://www.criterion.com/films/720-monterey-pop","https://github.com/brittonwalker/criterion-top-ten",""
"Allan Arkush","Monterey Pop","D. A. Pennebaker","https://www.criterion.com/films/720-monterey-pop","https://github.com/brittonwalker/criterion-top-ten",""
"Allison Anders","Monterey Pop","D. A. Pennebaker","https://www.criterion.com/films/720-monterey-pop","https://github.com/brittonwalker/criterion-top-ten",""
"Meg Baird","Alexander Nevsky","Sergei Eisenstein","https://www.criterion.com/films/341-alexander-nevsky","https://github.com/brittonwalker/criterion-top-ten",""
"Paul Schneider","Three Colors: Red","Krzysztof Kieślowski","https://www.criterion.com/films/27733-three-colors-red","https://github.com/brittonwalker/criterion-top-ten",""
"Paul Schneider","Three Colors: White","Krzysztof Kieślowski","https://www.criterion.com/films/27732-three-colors-white","https://github.com/brittonwalker/criterion-top-ten",""
"Paul Schneider","Tokyo Olympiad","Kon Ichikawa","https://www.criterion.com/films/709-tokyo-olympiad","https://github.com/brittonwalker/criterion-top-ten",""
"Robert Greene","Tokyo Olympiad","Kon Ichikawa","https://www.criterion.com/films/709-tokyo-olympiad","https://github.com/brittonwalker/criterion-top-ten",""
"Tom Schnabel","Tokyo Olympiad","Kon Ichikawa","https://www.criterion.com/films/709-tokyo-olympiad","https://github.com/brittonwalker/criterion-top-ten",""
"Paul Schneider","Dead Ringers","David Cronenberg","https://www.criterion.com/films/541-dead-ringers","https://github.com/brittonwalker/criterion-top-ten",""
"Reggie Watts","Dead Ringers","David Cronenberg","https://www.criterion.com/films/541-dead-ringers","https://github.com/brittonwalker/criterion-top-ten",""
"Daniel Lopatin","Dead Ringers","David Cronenberg","https://www.criterion.com/films/541-dead-ringers","https://github.com/brittonwalker/criterion-top-ten",""
"Lena Dunham ","Dead Ringers","David Cronenberg","https://www.criterion.com/films/541-dead-ringers","https://github.com/brittonwalker/criterion-top-ten",""
"Michael Atkinson","Dead Ringers","David Cronenberg","https://www.criterion.com/films/541-dead-ringers","https://github.com/brittonwalker/criterion-top-ten",""
"Nathan Lee","Dead Ringers","David Cronenberg","https://www.criterion.com/films/541-dead-ringers","https://github.com/brittonwalker/criterion-top-ten",""
"David Hudson","Dead Ringers","David Cronenberg","https://www.criterion.com/films/541-dead-ringers","https://github.com/brittonwalker/criterion-top-ten",""
"Paul Schneider","George Washington","David Gordon Green","https://www.criterion.com/films/691-george-washington","https://github.com/brittonwalker/criterion-top-ten",""
"Bill Hader","George Washington","David Gordon Green","https://www.criterion.com/films/691-george-washington","https://github.com/brittonwalker/criterion-top-ten",""
"Patton Oswalt","George Washington","David Gordon Green","https://www.criterion.com/films/691-george-washington","https://github.com/brittonwalker/criterion-top-ten",""
"Laura Mulvey","People on Sunday","Robert Siodmak and Edgar G. Ulmer","https://www.criterion.com/films/27625-people-on-sunday","https://github.com/brittonwalker/criterion-top-ten",""
"Ana Lily Amirpour","The Fisher King","Terry Gilliam","https://www.criterion.com/films/28719-the-fisher-king","https://github.com/brittonwalker/criterion-top-ten",""
"Ana Lily Amirpour","And God Created Woman","Roger Vadim","https://www.criterion.com/films/616-and-god-created-woman","https://github.com/brittonwalker/criterion-top-ten",""
"Adam Yauch","And God Created Woman","Roger Vadim","https://www.criterion.com/films/616-and-god-created-woman","https://github.com/brittonwalker/criterion-top-ten",""
"Tom Schnabel","And God Created Woman","Roger Vadim","https://www.criterion.com/films/616-and-god-created-woman","https://github.com/brittonwalker/criterion-top-ten",""
"Matthew Weiner","The Last Command","Josef von Sternberg","https://www.criterion.com/films/6721-the-last-command","https://github.com/brittonwalker/criterion-top-ten",""
"Matthew Weiner","Bitter Rice","Giuseppe De Santis","https://www.criterion.com/films/27805-bitter-rice","https://github.com/brittonwalker/criterion-top-ten",""
"Matthew Weiner","Monty Python’s Life of Brian","Terry Jones","https://www.criterion.com/films/606-monty-pythons-life-of-brian","https://github.com/brittonwalker/criterion-top-ten",""
"Don Hertzfeldt","Monty Python’s Life of Brian","Terry Jones","https://www.criterion.com/films/606-monty-pythons-life-of-brian","https://github.com/brittonwalker/criterion-top-ten",""
"Nicholas Stoller","Monty Python’s Life of Brian","Terry Jones","https://www.criterion.com/films/606-monty-pythons-life-of-brian","https://github.com/brittonwalker/criterion-top-ten",""
"Dominic Monaghan","Monty Python’s Life of Brian","Terry Jones","https://www.criterion.com/films/606-monty-pythons-life-of-brian","https://github.com/brittonwalker/criterion-top-ten",""
"Bill Hader","Monty Python’s Life of Brian","Terry Jones","https://www.criterion.com/films/606-monty-pythons-life-of-brian","https://github.com/brittonwalker/criterion-top-ten",""
"Matthew Weiner","The Young Girls of Rochefort","Jacques Demy","https://www.criterion.com/films/28615-the-young-girls-of-rochefort","https://github.com/brittonwalker/criterion-top-ten",""
"Bruce Beresford","The Music Room","Satyajit Ray","https://www.criterion.com/films/27657-the-music-room","https://github.com/brittonwalker/criterion-top-ten",""
"Bruce Beresford","Miss Julie","Alf Sjöberg","https://www.criterion.com/films/361-miss-julie","https://github.com/brittonwalker/criterion-top-ten",""
"Bruce Beresford","Odd Man Out","Carol Reed","https://www.criterion.com/films/28173-odd-man-out","https://github.com/brittonwalker/criterion-top-ten",""
"Bruce Beresford","The Story of a Cheat","Sacha Guitry","https://www.criterion.com/films/21815-the-story-of-a-cheat","https://github.com/brittonwalker/criterion-top-ten",""
"Bruce Beresford","Rome Open City","Roberto Rossellini","https://www.criterion.com/films/975-rome-open-city","https://github.com/brittonwalker/criterion-top-ten",""
"John Bailey","Rome Open City","Roberto Rossellini","https://www.criterion.com/films/975-rome-open-city","https://github.com/brittonwalker/criterion-top-ten",""
