rank,title,year,director,times_picked,lb_rating,imdb_rating,imdb_votes,imdb
1,A Woman Under the Influence,1974,John Cassavetes,40,4.4,8,33524,tt0072417
2,The Killing of a Chinese Bookie,1976,John Cassavetes,38,3.9,7.2,16453,tt0074749
3,Faces,1968,John Cassavetes,36,3.93,7.4,12796,tt0062952
4,8½,1963,Federico Fellini,35,4.27,8,133067,tt0056801
5,Shadows,1958,John Cassavetes,33,3.69,7.2,13615,tt0053270
6,La Strada,1954,Federico Fellini,33,4.18,8,70070,tt0047528
7,Opening Night,1977,John Cassavetes,33,4.3,7.8,14139,tt0079672
8,A Constant Forge,2000,Charles Kiselyak,32,3.67,7.4,545,tt0346794
9,Vagabond,1985,Agnès Varda,27,4.11,7.6,15950,tt0089960
10,Cléo from 5 to 7,1962,Agnès Varda,27,4.18,7.8,31836,tt0055852
11,La Pointe Courte,1955,Agnès Varda,26,3.72,7,4927,tt0048499
12,Le Bonheur,1965,Agnès Varda,26,4.14,7.6,11911,tt0058985
13,Amarcord,1973,Federico Fellini,24,4.12,7.8,51592,tt0071129
14,Varda by Agnès,2019,Agnès Varda,24,4.08,7.8,2839,tt9530198
15,The Gleaners and I,2000,Agnès Varda,24,4.27,7.7,10237,tt0247380
16,Documenteur,1981,Agnès Varda,24,3.79,6.9,1510,tt0082275
17,Kung-Fu Master!,1988,Agnès Varda,24,3.62,6.9,2534,tt0093371
18,Uncle Yanco,1967,Agnès Varda,24,4.08,7.4,1726,tt0179389
19,Jane B. by Agnès V.,1988,Agnès Varda,24,4.01,7.2,1858,tt0093295
20,Jacquot de Nantes,1991,Agnès Varda,24,4.17,7.6,2343,tt0102141
21,Lions Love,1969,Agnès Varda,24,3.39,5.8,1605,tt0064591
22,Black Panthers,1968,Agnès Varda,24,4.14,7.4,3104,tt0209942
23,Faces Places,2017,"Agnès Varda, JR",24,4.15,7.8,14466,tt5598102
24,"One Sings, the Other Doesn't",1977,Agnès Varda,24,4.14,7.4,3227,tt0076855
25,Mur Murs,1981,Agnès Varda,24,3.99,7.4,1341,tt0081204
26,Daguerréotypes,1975,Agnès Varda,24,4.02,7.6,2302,tt0071384
27,The Beaches of Agnès,2008,Agnès Varda,24,4.34,8,5373,tt1129435
28,Agnès Varda: From Here to There,2011,Agnès Varda,24,4.06,7.9,349,tt2125012
29,One Hundred and One Nights,1995,Agnès Varda,24,3.76,6.5,2183,tt0112654
30,The Creatures,1966,Agnès Varda,24,3.49,6.4,1558,tt0060263
31,The Gleaners and I: Two Years Later,2002,Agnès Varda,23,3.82,7.1,1447,tt0345128
32,Do the Right Thing,1989,Spike Lee,22,4.4,7.9,125027,tt0097216
33,Monsieur Hulot's Holiday,1953,Jacques Tati,21,3.73,7.3,22019,tt0046487
34,Parade,1974,Jacques Tati,21,3.27,5.9,2025,tt0071968
35,All That Jazz,1979,Bob Fosse,21,4.34,7.8,40780,tt0078754
36,Mon Oncle,1958,Jacques Tati,21,4.04,7.6,24937,tt0050706
37,Trafic,1971,Jacques Tati,21,3.75,7,8401,tt0069400
38,PlayTime,1967,Jacques Tati,21,4.2,7.8,29716,tt0062136
39,Jour de Fête,1949,Jacques Tati,21,3.59,7.2,9704,tt0040497
40,Roma,1972,Federico Fellini,21,3.88,7.3,14927,tt0069191
41,Fanny and Alexander,1982,Ingmar Bergman,20,4.42,8.1,71508,tt0083922
42,Fanny and Alexander,1984,Ingmar Bergman,20,4.56,9,5373,tt6725158
43,In the Mood for Love,2000,Wong Kar-Wai,20,4.37,8,189536,tt0118694
44,Juliet of the Spirits,1965,Federico Fellini,19,3.91,7.4,15792,tt0059229
45,Satyricon,1969,Federico Fellini,19,3.71,6.8,18222,tt0064940
46,Persona,1966,Ingmar Bergman,18,4.38,8,141092,tt0060827
47,I Vitelloni,1953,Federico Fellini,18,3.99,7.8,23307,tt0046521
48,Theorem,1968,Pier Paolo Pasolini,18,3.91,7,17042,tt0063678
49,Mamma Roma,1962,Pier Paolo Pasolini,18,4.03,7.7,11460,tt0056215
50,Through a Glass Darkly,1961,Ingmar Bergman,18,4.16,7.9,29526,tt0055499
51,The Silence,1963,Ingmar Bergman,18,4.01,7.7,22745,tt0057611
52,Winter Light,1963,Ingmar Bergman,18,4.25,8,29631,tt0057358
53,The Swindle,1955,Federico Fellini,17,3.73,7.5,7780,tt0047876
54,Nights of Cabiria,1957,Federico Fellini,17,4.41,8.1,57252,tt0050783
55,Medea,1969,Pier Paolo Pasolini,17,3.69,6.9,6171,tt0066065
56,The White Sheik,1952,Federico Fellini,17,3.51,7.2,7545,tt0044000
57,The Hawks and the Sparrows,1966,Pier Paolo Pasolini,17,3.76,7.2,6321,tt0061132
58,Accattone,1961,Pier Paolo Pasolini,17,3.91,7.6,11268,tt0054599
59,Being There,1979,Hal Ashby,17,4.08,7.9,82127,tt0078841
60,Variety Lights,1950,"Alberto Lattuada, Federico Fellini",17,3.48,7.1,4357,tt0042692
61,Love Meetings,1964,Pier Paolo Pasolini,17,4.03,7.5,3026,tt0057960
62,The Gospel According to St. Matthew,1964,Pier Paolo Pasolini,17,4.1,7.6,15203,tt0058715
63,Intervista,1987,Federico Fellini,17,3.61,7,3602,tt0093267
64,Pigsty,1969,Pier Paolo Pasolini,17,3.56,6.6,4359,tt0064828
65,And the Ship Sails On,1983,Federico Fellini,17,3.77,7.4,7412,tt0087188
66,La Dolce Vita,1960,Federico Fellini,17,4.27,8,86048,tt0053779
67,Oedipus Rex,1967,Pier Paolo Pasolini,17,3.78,7.2,7668,tt0061613
68,Naked,1993,Mike Leigh,16,4,7.6,48956,tt0107653
69,The Magician,1958,Ingmar Bergman,16,3.81,7.5,11911,tt0051365
70,Wanda,1970,Barbara Loden,16,3.81,7.1,7045,tt0067961
71,The Red Shoes,1948,"Michael Powell, Emeric Pressburger",15,4.41,8.1,43816,tt0040725
72,Summer with Monika,1953,Ingmar Bergman,15,3.86,7.5,17806,tt0046345
73,"Salò, or the 120 Days of Sodom",1975,Pier Paolo Pasolini,15,3.07,5.8,73184,tt0073650
74,The Night of the Hunter,1955,Charles Laughton,15,4.25,8,108163,tt0048424
75,Yi Yi,2000,Edward Yang,15,4.53,8.1,34449,tt0244316
76,The Seventh Seal,1957,Ingmar Bergman,15,4.32,8.1,215844,tt0050976
77,Five Easy Pieces,1970,Bob Rafelson,14,3.88,7.3,44633,tt0065724
78,On the Waterfront,1954,Elia Kazan,14,4.16,8.1,179127,tt0047296
79,Punch-Drunk Love,2002,Paul Thomas Anderson,14,3.96,7.3,198253,tt0272338
80,Barry Lyndon,1975,Stanley Kubrick,14,4.41,8.1,205939,tt0072684
81,Autumn Sonata,1978,Ingmar Bergman,14,4.49,8.1,42572,tt0077711
82,Cries and Whispers,1972,Ingmar Bergman,14,4.21,7.9,39914,tt0069467
83,Wild Strawberries,1957,Ingmar Bergman,14,4.33,8.1,124889,tt0050986
84,The Virgin Spring,1960,Ingmar Bergman,14,4.16,8,33902,tt0053976
85,"Paris, Texas",1984,Wim Wenders,13,4.36,8.1,142402,tt0087884
86,Easy Rider,1969,Dennis Hopper,13,3.77,7.2,122790,tt0064276
87,Journey to Italy,1954,Roberto Rossellini,13,3.81,7.2,13947,tt0046511
88,Shame,1968,Ingmar Bergman,13,4.22,8,16532,tt0063611
89,The Magic Flute,1975,Ingmar Bergman,13,3.68,7.4,5780,tt0073822
90,Shampoo,1975,Hal Ashby,13,3.41,6.4,15992,tt0073692
91,Europa '51,1952,Roberto Rossellini,13,3.91,7.4,5456,tt0043511
92,Stromboli,1950,Roberto Rossellini,13,3.87,7.2,9000,tt0041931
93,Rushmore,1998,Wes Anderson,13,3.89,7.6,208852,tt0128445
94,The Devil's Eye,1960,Ingmar Bergman,13,3.59,7.1,5099,tt0053772
95,Scenes from a Marriage,1974,Ingmar Bergman,13,4.38,8.3,10484,tt6725014
96,Trainspotting,1996,Danny Boyle,12,4.23,8.1,769875,tt0117951
97,Fårö Document,1970,Ingmar Bergman,12,3.44,6.7,619,tt0064355
98,Waiting Women,1952,Ingmar Bergman,12,3.51,7,3331,tt0044811
99,Brief Encounter,1945,David Lean,12,4.32,8,48795,tt0037558
100,Saraband,2003,Ingmar Bergman,12,3.95,7.5,9118,tt0299478
101,Thirst,1949,Ingmar Bergman,12,3.24,6.5,3193,tt0041998
102,Fårö Document 1979,1979,Ingmar Bergman,12,3.41,6.7,838,tt0079187
103,To Joy,1950,Ingmar Bergman,12,3.54,7.1,3811,tt0043048
104,A Lesson in Love,1954,Ingmar Bergman,12,3.47,7,4112,tt0047167
105,Paris Is Burning,1990,Jennie Livingston,12,4.55,8.2,21436,tt0100332
106,The Passion of Anna,1969,Ingmar Bergman,12,3.96,7.6,11342,tt0064793
107,From the Life of the Marionettes,1980,Ingmar Bergman,12,3.73,7.2,5228,tt0080397
108,The Rite,1969,Ingmar Bergman,12,3.57,7,3718,tt0064897
109,Smiles of a Summer Night,1955,Ingmar Bergman,12,3.9,7.7,15772,tt0048641
110,Hour of the Wolf,1968,Ingmar Bergman,12,4.03,7.5,25112,tt0063759
111,Down by Law,1986,Jim Jarmusch,12,4.08,7.6,58853,tt0090967
112,Summer Interlude,1951,Ingmar Bergman,12,3.85,7.5,7333,tt0044060
113,A Ship to India,1947,Ingmar Bergman,12,3.13,6.4,2552,tt0039834
114,All These Women,1964,Ingmar Bergman,12,2.9,5.4,2864,tt0058124
115,The Serpent's Egg,1977,Ingmar Bergman,12,3.35,6.6,6883,tt0076686
116,Sans Soleil,1983,Chris Marker,12,4.22,7.7,13154,tt0084628
117,Brink of Life,1958,Ingmar Bergman,12,3.76,7.3,3783,tt0052017
118,Mirror,1975,Andrei Tarkovsky,12,4.32,7.9,57925,tt0072443
119,Port of Call,1948,Ingmar Bergman,12,3.26,6.6,3135,tt0040418
120,The Discreet Charm of the Bourgeoisie,1972,Luis Buñuel,12,3.99,7.7,50713,tt0068361
121,Scenes from a Marriage,1973,Ingmar Bergman,12,4.45,8.5,17838,tt0070644
122,Repo Man,1984,Alex Cox,12,3.74,6.8,45653,tt0087995
123,Seven Samurai,1954,Akira Kurosawa,12,4.6,8.6,402914,tt0047478
124,The Touch,1971,Ingmar Bergman,12,3.19,6.3,2550,tt0066826
125,After the Rehearsal,1984,Ingmar Bergman,12,3.63,7.1,3289,tt0087193
126,Dreams,1955,Ingmar Bergman,12,3.52,7,3829,tt0048272
127,Crisis,1946,Ingmar Bergman,12,3.16,6.4,3928,tt0038675
128,Sawdust and Tinsel,1953,Ingmar Bergman,12,3.79,7.4,8101,tt0045848
129,Fantastic Mr. Fox,2009,Wes Anderson,11,4.3,7.9,307005,tt0432283
130,La chambre,1972,Chantal Akerman,11,3.45,5.9,1183,tt0068354
131,Defending Your Life,1991,Albert Brooks,11,3.63,7.2,23603,tt0101698
132,Watermelon Man,1970,Melvin Van Peebles,11,3.72,6.7,3288,tt0066550
133,Hotel Monterey,1973,Chantal Akerman,11,3.56,6.1,1158,tt0068725
134,Dekalog,1989,Krzysztof Kieślowski,11,4.62,8.9,34982,tt0092337
135,To Sleep with Anger,1990,Charles Burnett,11,3.93,7.1,3551,tt0100791
136,Love & Basketball,2000,Gina Prince-Bythewood,11,3.67,7.2,26752,tt0199725
137,The Phantom of Liberty,1974,Luis Buñuel,11,3.98,7.7,18570,tt0071487
138,Beau Travail,1999,Claire Denis,11,4.12,7.3,18432,tt0209933
139,House,1977,Nobuhiko Obayashi,11,3.99,7.2,39927,tt0076162
140,Don't Play Us Cheap,1973,Melvin Van Peebles,11,3.6,5.8,460,tt0069996
141,La Jetée,1962,Chris Marker,11,4.32,8.2,39995,tt0056119
142,Blue Velvet,1986,David Lynch,11,4.06,7.7,246550,tt0090756
143,Ratcatcher,1999,Lynne Ramsay,11,4.08,7.5,13383,tt0171685
144,Black Orpheus,1959,Marcel Camus,11,3.82,7.4,13507,tt0053146
145,Godzilla,1954,Ishirō Honda,11,4.06,7.6,45638,tt0047034
146,Jules and Jim,1962,François Truffaut,11,3.93,7.6,47049,tt0055032
147,Bicycle Thieves,1948,Vittorio De Sica,11,4.29,8.2,192029,tt0040522
148,The Leopard,1963,Luchino Visconti,11,4.15,7.9,34712,tt0057091
149,The Meetings of Anna,1978,Chantal Akerman,11,4.12,7.3,2691,tt0078152
150,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,Chantal Akerman,11,4.26,7.5,17596,tt0073198
151,Tokyo Story,1953,Yasujirō Ozu,11,4.43,8.1,78071,tt0046438
152,The 400 Blows,1959,François Truffaut,11,4.3,8,134894,tt0053198
153,The Story of a Three-Day Pass,1967,Melvin Van Peebles,11,3.84,7.1,762,tt0063646
154,Bottle Rocket,1996,Wes Anderson,11,3.53,6.9,88577,tt0115734
155,Eraserhead,1977,David Lynch,11,3.82,7.2,144331,tt0074486
156,City Lights,1931,Charlie Chaplin,11,4.33,8.5,216952,tt0021749
157,Klute,1971,Alan J. Pakula,11,3.86,7.1,33928,tt0067309
158,The Worst Person in the World,2021,Joachim Trier,11,4.08,7.7,129457,tt10370710
159,News from Home,1976,Chantal Akerman,11,4.11,7.3,3579,tt0076452
160,Je Tu Il Elle,1974,Chantal Akerman,11,3.71,6.6,3925,tt0071690
161,Sweet Sweetback's Baadasssss Song,1971,Melvin Van Peebles,11,3.29,5.5,6404,tt0067810
162,That Obscure Object of Desire,1977,Luis Buñuel,11,3.99,7.8,27022,tt0075824
163,The Last Picture Show,1971,Peter Bogdanovich,11,4.21,8,57141,tt0067328
164,Three Colours: Red,1994,Krzysztof Kieślowski,10,4.33,8.1,116084,tt0111495
165,Sweet Smell of Success,1957,Alexander Mackendrick,10,4.24,8,40247,tt0051036
166,Before Midnight,2013,Richard Linklater,10,4.01,7.9,186800,tt2209418
167,Malcolm X,1992,Spike Lee,10,4.29,7.7,111585,tt0104797
168,The Way of the Dragon,1972,Bruce Lee,10,3.6,7.1,44114,tt0068935
169,The Big Boss,1971,Lo Wei,10,3.38,6.9,31825,tt0067824
170,Girlfriends,1978,Claudia Weill,10,3.9,7.2,3661,tt0077613
171,Before Sunrise,1995,Richard Linklater,10,4.3,8.1,379906,tt0112471
172,Fist of Fury,1972,Lo Wei,10,3.65,7.2,37384,tt0068767
173,Close-Up,1990,Abbas Kiarostami,10,4.41,8.2,27036,tt0100234
174,Apur Sansar,1959,Satyajit Ray,10,4.38,8.4,20125,tt0052572
175,Three Colours: Blue,1993,Krzysztof Kieślowski,10,4.15,7.8,118283,tt0108394
176,My Night at Maud's,1969,Éric Rohmer,10,4.17,7.8,16112,tt0064612
177,La Collectionneuse,1967,Éric Rohmer,10,3.81,7.3,10896,tt0061495
178,Moonstruck,1987,Norman Jewison,10,3.79,7.2,78399,tt0093565
179,Videodrome,1983,David Cronenberg,10,3.87,7.2,113521,tt0086541
180,Before Sunset,2004,Richard Linklater,10,4.31,8.1,316771,tt0381681
181,The Grand Budapest Hotel,2014,Wes Anderson,10,4.24,8.1,976291,tt2278388
182,The Princess Bride,1987,Rob Reiner,10,4.1,8,487479,tt0093779
183,Loves of a Blonde,1965,Miloš Forman,10,3.79,7.4,10294,tt0059415
184,Three Colours: White,1994,Krzysztof Kieślowski,10,3.83,7.6,84751,tt0111507
185,The Cameraman,1928,"Edward Sedgwick, Buster Keaton",10,4.13,8,14614,tt0018742
186,After Life,1998,Hirokazu Kore-eda,10,4.16,7.6,15775,tt0165078
187,Midnight Cowboy,1969,John Schlesinger,10,4.15,7.8,131233,tt0064665
188,Badlands,1973,Terrence Malick,10,3.99,7.7,84783,tt0069762
189,The Bakery Girl of Monceau,1963,Éric Rohmer,10,3.6,7.2,5927,tt0056884
190,Pather Panchali,1955,Satyajit Ray,10,4.32,8.2,41814,tt0048473
191,Suzanne’s Career,1963,Éric Rohmer,10,3.42,6.8,4627,tt0056910
192,Amores Perros,2000,Alejandro G. Iñárritu,10,4.19,8,271538,tt0245712
193,Claire's Knee,1970,Éric Rohmer,10,3.86,7.4,13635,tt0065772
194,Come and See,1985,Elem Klimov,10,4.61,8.3,124190,tt0091251
195,12 Angry Men,1957,Sidney Lumet,10,4.63,9,989156,tt0050083
196,Aparajito,1956,Satyajit Ray,10,4.27,8.2,19799,tt0048956
197,Hedwig and the Angry Inch,2001,John Cameron Mitchell,10,4.08,7.7,38020,tt0248845
198,Where Is the Friend's House?,1987,Abbas Kiarostami,10,4.38,8.1,23184,tt0093342
199,Game of Death,1978,Robert Clouse,10,2.99,5.9,22790,tt0077594
200,Enter the Dragon,1973,Robert Clouse,10,3.83,7.6,120808,tt0070034
201,Mikey and Nicky,1976,Elaine May,9,4.07,7.3,9416,tt0074901
202,La Notte,1961,Michelangelo Antonioni,9,4.29,7.9,26674,tt0054130
203,3 Women,1977,Robert Altman,9,4.15,7.7,19966,tt0075612
204,Y Tu Mamá También,2001,Alfonso Cuarón,9,4.21,7.7,142152,tt0245574
205,Pickpocket,1959,Robert Bresson,9,3.94,7.5,27656,tt0053168
206,Invasion of Astro-Monster,1965,Ishirō Honda,9,3.18,6.2,8653,tt0059346
207,Brazil,1985,Terry Gilliam,9,4.1,7.8,222038,tt0088846
208,A Man Escaped,1956,Robert Bresson,9,4.35,8.1,30844,tt0049902
209,Godzilla Raids Again,1955,Motoyoshi Oda,9,2.67,5.7,9858,tt0048127
210,All About Eve,1950,Joseph L. Mankiewicz,9,4.36,8.2,149687,tt0042192
211,Fish Tank,2009,Andrea Arnold,9,3.84,7.3,68492,tt1232776
212,Mothra vs. Godzilla,1964,Ishirō Honda,9,3.46,6.5,11836,tt0058379
213,Love in the Afternoon,1972,Éric Rohmer,9,4.03,7.6,10451,tt0068205
214,Son of Godzilla,1967,Jun Fukuda,9,2.68,5.2,6893,tt0061856
215,Godzilla vs. Megalon,1973,Jun Fukuda,9,2.91,4.9,7906,tt0070122
216,Secrets & Lies,1996,Mike Leigh,9,4.29,8,50472,tt0117589
217,"Ghidorah, the Three-Headed Monster",1964,Ishirō Honda,9,3.39,6.5,9170,tt0058544
218,The Battle of Algiers,1966,Gillo Pontecorvo,9,4.46,8.1,76154,tt0058946
219,King Kong vs. Godzilla,1962,Ishirō Honda,9,3.06,6.2,3121,tt13364334
220,Short Cuts,1993,Robert Altman,9,4.14,7.6,50066,tt0108122
221,Blow-Up,1966,Michelangelo Antonioni,9,3.8,7.4,72905,tt0060176
222,Destroy All Monsters,1968,Ishirō Honda,9,3.27,6.4,8822,tt0063172
223,Grey Gardens,1975,"Muffie Meyer, David Maysles, Ellen Giffard, Albert Maysles",9,4.08,7.5,16932,tt0073076
224,Godzilla vs. Hedorah,1971,Yoshimitsu Banno,9,3.51,6.1,7750,tt0067148
225,Raging Bull,1980,Martin Scorsese,9,4.21,8.1,411102,tt0081398
226,All Monsters Attack,1969,Ishirō Honda,9,2.12,3.9,6377,tt0064373
227,Rashomon,1950,Akira Kurosawa,9,4.2,8.1,197247,tt0042876
228,Terror of Mechagodzilla,1975,Ishirō Honda,9,3.21,6.1,6674,tt0073373
229,Love Streams,1984,John Cassavetes,9,4.2,7.6,7479,tt0087644
230,Godzilla vs. Gigan,1972,Jun Fukuda,9,3.01,5.6,6639,tt0068371
231,"Ebirah, Horror of the Deep",1966,Jun Fukuda,9,2.99,5.6,7392,tt0060464
232,Tampopo,1985,Jūzō Itami,9,4.31,7.9,27029,tt0092048
233,Stalker,1979,Andrei Tarkovsky,9,4.4,8,156580,tt0079944
234,King Kong vs. Godzilla,1963,"Thomas Montgomery, Ishirō Honda",9,2.81,5.7,12161,tt0056142
235,Notorious,1946,Alfred Hitchcock,9,4.09,7.9,112834,tt0038787
236,Godzilla vs. Mechagodzilla,1974,Jun Fukuda,9,3.3,6.2,9042,tt0071565
237,Night of the Living Dead,1968,George A. Romero,9,3.94,7.8,151493,tt0063350
238,My Own Private Idaho,1991,Gus Van Sant,9,3.84,6.9,67397,tt0102494
239,2046,2004,Wong Kar-Wai,8,4.05,7.4,64646,tt0212712
240,Funny Games,1997,Michael Haneke,8,3.91,7.5,97957,tt0119167
241,Always for Pleasure,1978,Les Blank,8,3.94,7.4,646,tt0077154
242,Le 15/8,1973,"Chantal Akerman, Samy Szlingerbaum",8,3.44,6.1,228,tt0069664
243,Devil in a Blue Dress,1995,Carl Franklin,8,3.71,6.8,27714,tt0112857
244,As Tears Go By,1988,Wong Kar-Wai,8,3.6,7,14305,tt0096461
245,The Royal Tenenbaums,2001,Wes Anderson,8,4.11,7.6,336246,tt0265666
246,A Matter of Life and Death,1946,"Emeric Pressburger, Michael Powell",8,4.27,8,27999,tt0038733
247,Days of Being Wild,1990,Wong Kar-Wai,8,3.82,7.4,28649,tt0101258
248,The Virgin Suicides,1999,Sofia Coppola,8,3.85,7.2,187060,tt0159097
249,Happy Together,1997,Wong Kar-Wai,8,4.21,7.6,38503,tt0118845
250,Head,1968,Bob Rafelson,8,3.64,6.4,7401,tt0063049
251,Mulholland Drive,2001,David Lynch,8,4.26,7.9,429856,tt0166924
252,Fat Girl,2001,Catherine Breillat,8,3.43,6.4,14123,tt0243255
253,Saute ma ville,1968,Chantal Akerman,8,3.57,6.3,1505,tt0063551
254,Breathless,1960,Jean-Luc Godard,8,3.9,7.6,95838,tt0053472
255,Sid and Nancy,1986,Alex Cox,8,3.49,7,37040,tt0091954
256,Tootsie,1982,Sydney Pollack,8,3.75,7.4,122936,tt0084805
257,A Safe Place,1971,Henry Jaglom,8,2.6,4.9,1484,tt0067699
258,No Country for Old Men,2007,"Joel Coen, Ethan Coen",8,4.31,8.2,1197671,tt0477348
259,Fast Times at Ridgemont High,1982,Amy Heckerling,8,3.49,7.1,125515,tt0083929
260,His Girl Friday,1940,Howard Hawks,8,4.03,7.8,68104,tt0032599
261,Female Trouble,1974,John Waters,8,3.94,7.1,11794,tt0072979
262,Claudine,1974,John Berry,8,3.81,7.3,2909,tt0071334
263,Le Samouraï,1967,Jean-Pierre Melville,8,4.22,8,66442,tt0062229
264,Uncut Gems,2019,"Josh Safdie, Benny Safdie",8,3.95,7.4,358353,tt5727208
265,The Umbrellas of Cherbourg,1964,Jacques Demy,8,4.14,7.8,35224,tt0058450
266,"The Beloved Child, or I Play at Being a Married Woman",1971,Chantal Akerman,8,3.41,6.1,158,tt0067053
267,The Wages of Fear,1953,Henri-Georges Clouzot,8,4.36,8.1,73771,tt0046268
268,Cold War,2018,Paweł Pawlikowski,8,4.05,7.5,65680,tt6543652
269,The King of Marvin Gardens,1972,Bob Rafelson,8,3.48,6.5,6514,tt0068805
270,Fallen Angels,1995,Wong Kar-Wai,8,4.16,7.5,60048,tt0112913
271,Chungking Express,1994,Wong Kar-Wai,8,4.27,7.9,112101,tt0109424
272,Husbands,1970,John Cassavetes,8,3.81,7,8170,tt0065867
273,A Brighter Summer Day,1991,Edward Yang,8,4.5,8.2,15155,tt0101985
274,Some Like It Hot,1959,Billy Wilder,8,4.28,8.2,305293,tt0053291
275,Andrei Rublev,1966,Andrei Tarkovsky,8,4.44,8,60754,tt0060107
276,The Vanishing,1988,George Sluizer,8,4.01,7.6,54935,tt0096163
277,The Life Aquatic with Steve Zissou,2004,Wes Anderson,8,3.81,7.2,221474,tt0362270
278,The Scarlet Empress,1934,Josef von Sternberg,8,3.9,7.5,7948,tt0025746
279,"Drive, He Said",1971,Jack Nicholson,8,2.85,5.6,1922,tt0068509
280,The Age of Innocence,1993,Martin Scorsese,8,3.81,7.2,75148,tt0106226
281,Roma,2018,Alfonso Cuarón,8,4.09,7.6,178876,tt6155172
282,Happiness,1998,Todd Solondz,8,3.97,7.7,80154,tt0147612
283,The Piano Teacher,2001,Michael Haneke,8,4.06,7.5,81601,tt0254686
284,Seconds,1966,John Frankenheimer,7,4.15,7.6,23810,tt0060955
285,Italianamerican,1974,Martin Scorsese,7,3.98,7.6,4335,tt0071680
286,Black Narcissus,1947,"Emeric Pressburger, Michael Powell",7,3.98,7.7,31520,tt0039192
287,I Knew Her Well,1965,Antonio Pietrangeli,7,3.99,7.6,3810,tt0060545
288,Good Morning,1959,Yasujirō Ozu,7,4.21,7.8,12519,tt0053134
289,Dazed and Confused,1993,Richard Linklater,7,3.9,7.6,217114,tt0106677
290,WALL·E,2008,Andrew Stanton,7,4.24,8.4,1327582,tt0910970
291,Straw Dogs,1971,Sam Peckinpah,7,3.77,7.4,68454,tt0067800
292,Being John Malkovich,1999,Spike Jonze,7,4.07,7.7,369684,tt0120601
293,'Round Midnight,1986,Bertrand Tavernier,7,3.84,7.4,6436,tt0090557
294,Sunday Bloody Sunday,1971,John Schlesinger,7,3.6,6.9,7902,tt0067805
295,Women on the Verge of a Nervous Breakdown,1988,Pedro Almodóvar,7,4.12,7.5,50910,tt0095675
296,The Big Chill,1983,Lawrence Kasdan,7,3.51,7.1,45626,tt0085244
297,La Ciénaga,2001,Lucrecia Martel,7,3.87,7,9532,tt0240419
298,Through the Olive Trees,1994,Abbas Kiarostami,7,4.2,7.7,11991,tt0111845
299,The Ascent,1977,Larisa Shepitko,7,4.44,8.2,12405,tt0075404
300,This Happy Breed,1944,David Lean,7,3.66,7.3,4617,tt0037367
301,The Tall T,1957,Budd Boetticher,7,3.81,7.3,7046,tt0051047
302,In Which We Serve,1942,"Noël Coward, David Lean",7,3.44,7.2,7086,tt0034891
303,The Big Shave,1967,Martin Scorsese,7,3.58,7,10179,tt0061402
304,Naked Lunch,1991,David Cronenberg,7,3.76,6.9,61063,tt0102511
305,What's a Nice Girl Like You Doing in a Place Like This?,1963,Martin Scorsese,7,3.4,6.4,3131,tt0057680
306,Blood Simple,1984,Joel Coen,7,3.89,7.5,114301,tt0086979
307,To Die For,1995,Gus Van Sant,7,3.63,6.8,60295,tt0114681
308,La Haine,1995,Mathieu Kassovitz,7,4.5,8.1,228285,tt0113247
309,Dont Look Back,1967,D. A. Pennebaker,7,4.14,7.9,11020,tt0061589
310,Buchanan Rides Alone,1958,Budd Boetticher,7,3.55,6.8,3673,tt0051437
311,The Making of Fanny and Alexander,1984,Ingmar Bergman,7,3.81,7.5,1099,tt0090955
312,Withnail & I,1987,Bruce Robinson,7,3.99,7.5,52447,tt0094336
313,The Rules of the Game,1939,Jean Renoir,7,4.06,7.9,33467,tt0031885
314,Days of Heaven,1978,Terrence Malick,7,4.09,7.7,69386,tt0077405
315,Kes,1969,Ken Loach,7,4.25,7.9,26084,tt0064541
316,Ride Lonesome,1959,Budd Boetticher,7,3.72,7.1,7601,tt0053220
317,American Boy: A Profile of Steven Prince,1978,Martin Scorsese,7,3.74,7.3,2210,tt0077157
318,The Swimming Pool,1969,Jacques Deray,7,3.74,7.1,16925,tt0064816
319,Il Posto,1961,Ermanno Olmi,7,4.16,7.9,7758,tt0055320
320,L'Avventura,1960,Michelangelo Antonioni,7,4.07,7.7,37166,tt0053619
321,Cure,1997,Kiyoshi Kurosawa,7,4.28,7.5,39196,tt0123948
322,Quadrophenia,1979,Franc Roddam,7,3.69,7.2,22633,tt0079766
323,Blithe Spirit,1945,David Lean,7,3.46,7,9329,tt0038363
324,Moonrise Kingdom,2012,Wes Anderson,7,4.03,7.7,383715,tt1748122
325,Decision at Sundown,1957,Budd Boetticher,7,3.52,6.8,3936,tt0050296
326,Comanche Station,1960,Budd Boetticher,7,3.65,7,5009,tt0053729
327,"Life, and Nothing More…",1992,Abbas Kiarostami,7,4.29,7.9,9229,tt0105888
328,Ace in the Hole,1951,Billy Wilder,7,4.28,8,42624,tt0043338
329,True Stories,1986,David Byrne,7,4.09,7.3,8478,tt0092117
330,Woman in the Dunes,1964,Hiroshi Teshigahara,7,4.47,8.4,25658,tt0058625
331,Thelma & Louise,1991,Ridley Scott,7,4.22,7.6,194577,tt0103074
332,"It's Not Just You, Murray!",1964,Martin Scorsese,7,3.36,6.4,2603,tt0058242
333,Safe,1995,Todd Haynes,7,3.96,7.1,19451,tt0114323
