rank,title,year,director,times_picked,lb_rating,imdb_rating,imdb_votes,imdb
1371,Emilia Pérez,2024,Jacques Audiard,1,2.02,5.3,132367,tt20221436
1372,The Burmese Harp,1956,Kon Ichikawa,1,4.14,8,7280,tt0049012
1373,Godzilla vs. Biollante,1989,Kazuki Ōmori,1,3.51,6.5,8455,tt0097444
1374,Amy,2015,Asif Kapadia,1,4.05,7.8,57990,tt2870648
1375,June Night,1940,Per Lindberg,1,3.22,6,802,tt0032655
1376,Moonage Daydream,2022,Brett Morgen,1,4.04,7.6,16514,tt9883832
1377,The Right Stuff,1983,Philip Kaufman,1,4.02,7.8,68066,tt0086197
1378,Appalachian Spring,1959,Peter Glushanok,1,3.54,6.4,249,tt0478971
1379,Enys Men,2022,Mark Jenkin,1,3.07,5.6,4554,tt11698800
1380,Alambrista!,1977,Robert M. Young,1,3.81,7.3,916,tt0075654
1381,Grip of the Strangler,1958,Robert Day,1,3.04,6.2,2419,tt0051706
1382,First Time Female Director,2023,Chelsea Peretti,1,2.63,4.4,505,tt21285728
1383,The Makioka Sisters,1983,Kon Ichikawa,1,3.66,7.2,1929,tt0086242
1384,Zatoichi at Large,1972,Kazuo Mori,1,3.25,6.8,1249,tt0202153
1385,The Black Stallion,1979,Carroll Ballard,1,3.68,7.4,15378,tt0078872
1386,Sasquatch Sunset,2024,"David Zellner, Nathan Zellner",1,2.79,5.4,6305,tt30180830
1387,The Irishman,2019,Martin Scorsese,1,3.91,7.8,474767,tt1302006
1388,The Brutalist,2024,Brady Corbet,1,3.89,7.2,157806,tt8999762
1389,Take Me Somewhere Nice,2019,Ena Sendijarević,1,3.33,6.3,1817,tt8567342
1390,The Matrix,1999,"Lana Wachowski, Lilly Wachowski",1,4.18,8.7,2256747,tt0133093
1391,Bad Things,2023,Stewart Thorndike,1,2.31,3.7,1114,tt27542845
1392,I Live in Fear,1955,Akira Kurosawa,1,3.74,7.3,6185,tt0048198
1393,Mr. Arkadin,1955,Orson Welles,1,3.7,7.1,10088,tt0048393
1394,The Baron of Arizona,1950,Samuel Fuller,1,3.43,6.9,2754,tt0042229
1395,Senna,2010,Asif Kapadia,1,4.26,8.4,83818,tt1424432
1396,La Vie de Bohème,1992,Aki Kaurismäki,1,3.97,7.5,7228,tt0105750
1397,The Atomic Submarine,1959,Spencer Gordon Bennet,1,2.68,5.1,2206,tt0052587
1398,Like Someone in Love,2012,Abbas Kiarostami,1,3.82,7,13841,tt1843287
1399,Fingernails,2023,Christos Nikou,1,2.95,5.8,10678,tt13968674
1400,The Innocent,2022,Louis Garrel,1,3.58,6.6,4836,tt19841734
1401,Zatoichi's Flashing Sword,1964,Kazuo Ikehiro,1,3.61,7.2,1868,tt0191664
1402,How to Get Ahead in Advertising,1989,Bruce Robinson,1,3.61,6.8,7115,tt0097531
1403,Downsizing,2017,Alexander Payne,1,2.39,5.8,138050,tt1389072
