slug,title,year,director,runtime,imdb,tmdb,lb_rating,lb_rating_count,imdb_rating,imdb_votes,times_picked,imdb_url,lb_url
i-know-where-im-going,I Know Where I'm Going!,1945,"Michael Powell, Emeric Pressburger",91,tt0037800,56137,3.83,20454,7.4,11424,1,https://www.imdb.com/title/tt0037800/,https://letterboxd.com/film/i-know-where-im-going/
the-piano-lesson-2024,The Piano Lesson,2024,Malcolm Washington,127,tt15507512,804406,3.27,22843,6.2,5698,1,https://www.imdb.com/title/tt15507512/,https://letterboxd.com/film/the-piano-lesson-2024/
the-thief-of-bagdad-1940,The Thief of Bagdad,1940,"Ludwig Berger, Michael Powell, Tim Whelan",107,tt0033152,12232,3.7,15061,7.4,15955,1,https://www.imdb.com/title/tt0033152/,https://letterboxd.com/film/the-thief-of-bagdad-1940/
orlando-my-political-biography,"Orlando, My Political Biography",2023,Paul B. Preciado,99,tt26448981,1077683,3.66,11012,7,707,1,https://www.imdb.com/title/tt26448981/,https://letterboxd.com/film/orlando-my-political-biography/
gravity-2013,Gravity,2013,Alfonso Cuarón,91,tt1454468,49047,3.51,893196,7.7,902063,1,https://www.imdb.com/title/tt1454468/,https://letterboxd.com/film/gravity-2013/
the-roaring-twenties,The Roaring Twenties,1939,Raoul Walsh,104,tt0031867,37698,4.02,16752,7.9,17501,1,https://www.imdb.com/title/tt0031867/,https://letterboxd.com/film/the-roaring-twenties/
oliver-twist-1948,Oliver Twist,1948,David Lean,121,tt0040662,10949,3.76,12637,7.8,15031,1,https://www.imdb.com/title/tt0040662/,https://letterboxd.com/film/oliver-twist-1948/
the-incredible-shrinking-man,The Incredible Shrinking Man,1957,Jack Arnold,81,tt0050539,31682,3.87,32707,7.6,22158,1,https://www.imdb.com/title/tt0050539/,https://letterboxd.com/film/the-incredible-shrinking-man/
the-long-farewell-1971,The Long Farewell,1971,Kira Muratova,94,tt0092905,148822,3.85,3834,7.3,1378,1,https://www.imdb.com/title/tt0092905/,https://letterboxd.com/film/the-long-farewell-1971/
zatoichis-conspiracy,Zatoichi's Conspiracy,1973,Kimiyoshi Yasuda,88,tt0072439,54307,3.48,1480,7,1239,1,https://www.imdb.com/title/tt0072439/,https://letterboxd.com/film/zatoichis-conspiracy/
everything-everywhere-all-at-once,Everything Everywhere All at Once,2022,"Daniel Scheinert, Daniel Kwan",140,tt6710474,545611,4.24,3974149,7.7,652040,1,https://www.imdb.com/title/tt6710474/,https://letterboxd.com/film/everything-everywhere-all-at-once/
lone-wolf-and-cub-white-heaven-in-hell,Lone Wolf and Cub: White Heaven in Hell,1974,Yoshiyuki Kuroda,83,tt0071695,41486,3.66,7905,7.3,4773,1,https://www.imdb.com/title/tt0071695/,https://letterboxd.com/film/lone-wolf-and-cub-white-heaven-in-hell/
pan-0,Pan 0,1974,Hollis Frampton,,tt2187009,163225,2.63,1065,4.3,392,1,https://www.imdb.com/title/tt2187009/,https://letterboxd.com/film/pan-0/
zatoichi-meets-the-one-armed-swordsman,Zatoichi Meets the One-Armed Swordsman,1971,"Kimiyoshi Yasuda, Hsu Tseng-Hung",94,tt0066602,24444,3.59,2060,7.1,1917,1,https://www.imdb.com/title/tt0066602/,https://letterboxd.com/film/zatoichi-meets-the-one-armed-swordsman/
decision-to-leave,Decision to Leave,2022,Park Chan-wook,139,tt12477480,705996,3.98,411968,7.3,70076,1,https://www.imdb.com/title/tt12477480/,https://letterboxd.com/film/decision-to-leave/
a-poem-is-a-naked-person,A Poem Is a Naked Person,1974,Les Blank,96,tt0424359,126423,3.79,2338,7.1,615,1,https://www.imdb.com/title/tt0424359/,https://letterboxd.com/film/a-poem-is-a-naked-person/
the-gold-rush,The Gold Rush,1925,Charlie Chaplin,95,tt0015864,962,4.15,104132,8.1,128407,1,https://www.imdb.com/title/tt0015864/,https://letterboxd.com/film/the-gold-rush/
freshwater-assassins,Freshwater Assassins,1947,Jean Painlevé,24,tt0129762,163806,3.45,454,6.5,303,1,https://www.imdb.com/title/tt0129762/,https://letterboxd.com/film/freshwater-assassins/
manila-in-the-claws-of-light,Manila in the Claws of Light,1975,Lino Brocka,127,tt0073363,70580,4.23,23327,7.8,3260,1,https://www.imdb.com/title/tt0073363/,https://letterboxd.com/film/manila-in-the-claws-of-light/
overlord,Overlord,1975,Stuart Cooper,83,tt0073502,55343,3.6,4275,7.1,3767,1,https://www.imdb.com/title/tt0073502/,https://letterboxd.com/film/overlord/
armageddon,Armageddon,1998,Michael Bay,151,tt0120591,95,3.18,293233,6.7,480864,1,https://www.imdb.com/title/tt0120591/,https://letterboxd.com/film/armageddon/
the-love-life-of-an-octopus,The Love Life of an Octopus,1967,"Jean Painlevé, Geneviève Hamon",14,tt1441320,117595,3.73,2137,7.1,595,1,https://www.imdb.com/title/tt1441320/,https://letterboxd.com/film/the-love-life-of-an-octopus/
zatoichis-pilgrimage,Zatoichi's Pilgrimage,1966,Kazuo Ikehiro,82,tt0199905,54276,3.62,1978,7.2,1360,1,https://www.imdb.com/title/tt0199905/,https://letterboxd.com/film/zatoichis-pilgrimage/
the-sea-horse,The Sea Horse,1935,Jean Painlevé,15,tt0129994,117592,3.7,1863,7.2,745,1,https://www.imdb.com/title/tt0129994/,https://letterboxd.com/film/the-sea-horse/
a-couple-2022,A Couple,2022,Frederick Wiseman,63,tt21374862,1004657,2.91,1639,5.5,242,1,https://www.imdb.com/title/tt21374862/,https://letterboxd.com/film/a-couple-2022/
i-shot-jesse-james,I Shot Jesse James,1949,Samuel Fuller,81,tt0041497,41058,3.49,4992,6.8,2720,1,https://www.imdb.com/title/tt0041497/,https://letterboxd.com/film/i-shot-jesse-james/
flunky-work-hard,"Flunky, Work Hard!",1931,Mikio Naruse,29,tt0022036,126514,3.53,1335,6.7,587,1,https://www.imdb.com/title/tt0022036/,https://letterboxd.com/film/flunky-work-hard/
the-phantom-carriage,The Phantom Carriage,1921,Victor Sjöström,108,tt0012364,58129,4.09,36285,8,15843,1,https://www.imdb.com/title/tt0012364/,https://letterboxd.com/film/the-phantom-carriage/
lynch-oz,Lynch/Oz,2022,Alexandre O. Philippe,108,tt15399286,965400,3.45,14504,6.9,1845,1,https://www.imdb.com/title/tt15399286/,https://letterboxd.com/film/lynch-oz/
hustlers-2019,Hustlers,2019,Lorene Scafaria,110,tt5503686,540901,3.29,321692,6.3,113272,1,https://www.imdb.com/title/tt5503686/,https://letterboxd.com/film/hustlers-2019/
solo-con-tu-pareja,Sólo con tu pareja,1991,Alfonso Cuarón,94,tt0102958,49971,3.41,13289,6.8,4638,1,https://www.imdb.com/title/tt0102958/,https://letterboxd.com/film/solo-con-tu-pareja/
